"","CON-001","CON-002","CON-003","CON-004","CON-005","CON-006","CON-007","CON-008","CON-009","CON-010","CON-011","CON-012","CON-013","CON-014","CON-015","CON-016","CON-017","CON-018","CON-019","CON-020","CON-021","CON-022","CON-023","CON-024","CON-025","CON-026","CON-027","CON-028","CON-029","CON-030","CON-031","CON-032","CON-033","CON-034","CON-035","CON-036","CON-037","CON-038","CON-039","CON-040","CON-041","CON-042","CON-043","CON-044","CON-045","CON-046","CON-047","CON-048","CON-049","CON-050","CON-051","CON-052","CON-053","CON-054","CON-055","CON-056","CON-057","CON-058","CON-059","CON-060","CON-061","CON-062","CON-063","CON-064","CON-065","CON-066","CON-067","CON-068","CON-069","CON-070","CON-071","CON-072","CON-073","CON-074","CON-075","CON-076","CON-077","CON-078","CON-079","CON-080","CON-081","CON-082","CON-083","CON-084","CON-085","CON-086","CON-087","CON-088","CON-089","CON-090","CON-091","CON-092","CON-093","CON-094","CON-095","CON-096","CON-097","CON-098","CON-099","CON-100","CON-101","CON-102","CON-103","CON-104","CON-105","CON-106","CON-107","CON-108","CON-109","CON-110","CON-111","DLF001","DLF002","DLF003","DLF004","DLF005","DLF006","DLF007","DLF008","DLF009","DLF010","DLF012","DLF013","DLF014","DLM001","DLM002","DLM003","DLM004","DLM005","DLM006","DLM007","DLM008","DLM009","DLM010","DLM011","DLM012","DLM013","DLM014","DLM015","DLM016","DLM017","DLM018","DLM019","DLM020","DLM021","DLM022","DLM023","DLM024","DLM027","DLM028","DOF002","DOF003","DOF004","DOF006","DOF007","DOF008","DOF009","DOF010","DOF011","DOF012","DOF013","DOF014","DOM001","DOM003","DOM005","DOM008","DOM010","DOM012","DOM013","DOM014","DOM015","DOM016","DOM017","DOM018","DOM019","DOM020","DOM021","DOM022","DOM023","DOM024","DOM025","DOM026","NLF001","NLF002","NLF005","NLF006","NLF007","NLF008","NLF009","NLF010","NLF011","NLF012","NLF013","NLF014","NLF015","NLM001","NLM002","NLM003","NLM004","NLM005","NLM006","NLM007","NLM008","NLM009","NLM010","NLM015","NLM016","NLM017","NLM021","NLM022","NLM023","NLM024","NLM025","NLM026","NLM027","NLM028","NLM029","NLM031","NLM032","NOF001","NOF002","NOF004","NOF005","NOF006","NOF007","NOF008","NOF009","NOF010","NOF011","NOF012","NOF013","NOF014","NOM001","NOM002","NOM004","NOM005","NOM007","NOM008","NOM009","NOM010","NOM012","NOM013","NOM014","NOM015","NOM016","NOM017","NOM018","NOM019","NOM020","NOM022","NOM023","NOM025","NOM026","NOM027","NOM028","NOM029","T2D-001","T2D-002","T2D-003","T2D-004","T2D-005","T2D-006","T2D-007","T2D-008","T2D-009","T2D-010","T2D-011","T2D-012","T2D-013","T2D-014","T2D-015","T2D-016","T2D-017","T2D-018","T2D-019","T2D-020","T2D-021","T2D-022","T2D-023","T2D-024","T2D-025","T2D-026","T2D-027","T2D-028","T2D-029","T2D-030","T2D-031","T2D-032","T2D-033","T2D-034","T2D-035","T2D-036","T2D-037","T2D-038","T2D-039","T2D-040","T2D-041","T2D-042","T2D-043","T2D-044","T2D-045","T2D-046","T2D-047","T2D-048","T2D-049","T2D-050","T2D-051","T2D-052","T2D-053","T2D-054","T2D-055","T2D-056","T2D-057","T2D-058","T2D-059","T2D-060","T2D-061","T2D-062","T2D-063","T2D-064","T2D-065","T2D-066","T2D-067","T2D-068","T2D-069","T2D-070","T2D-071","T2D-072","T2D-073","T2D-074","T2D-075","T2D-076","T2D-077","T2D-078","T2D-079","T2D-080","T2D-081","T2D-082","T2D-083","T2D-084","T2D-085","T2D-086","T2D-087","T2D-088","T2D-089","T2D-090","T2D-091","T2D-092","T2D-093","T2D-094","T2D-095","T2D-096","T2D-097","T2D-098","T2D-099","T2D-100","T2D-101","T2D-102","T2D-103","T2D-104","T2D-105","T2D-106","T2D-107","FeatureID"
"[Clostridium] innocuum",8215,277,0,2879,4895,9376,7083,3352,0,0,0,0,0,0,0,0,1992,0,20055,0,1379,0,19229,0,0,0,0,0,6638,0,0,0,0,0,4590,2805,0,0,44507,0,0,0,3205,0,1940,15465,0,6347,5470,9273,12511,0,1099,0,43693,0,0,509,0,299499,0,0,0,27655,39067,0,24249,92,10955,0,0,0,87647,4776,812,0,31412,0,2747,107995,0,0,9240,0,0,26332,0,0,0,0,4454,15753,263,26183,0,34935,2213,1377,0,141,0,0,0,702,0,7076,0,0,0,0,0,152576,0,0,0,0,22175,0,23480,151717,0,613486,18861,0,0,0,9955,0,2976,0,0,0,22940,567,0,19541,39954,0,627,0,0,0,0,67096,0,59380,4799,111956,26029,327,8876,0,6227,4126,149292,0,194,4456,0,6356,1570,0,0,0,1722,21031,0,133558,0,0,0,11768,0,0,0,0,0,0,0,0,11050,38826,0,1591,0,0,0,4871,0,1322,0,0,0,19305,0,0,0,11732,0,3039,8940,0,0,0,0,0,0,8907,0,0,8074,0,0,0,10664,2012,0,0,0,1622,27404,0,19234,0,0,0,11004,377,605,746,0,0,0,9265,10573,0,0,0,0,0,0,0,0,1385,0,0,0,0,0,0,6896,899,937,0,5957,4263,3730,3619,55679,6615,620,0,6247,0,845,0,748,0,2286,6523,31556,863657,3830,1693,20196,24367,0,12220,25795,0,0,19520,0,22286,1836,0,488545,14121,0,0,0,0,1324,1450,5084,9178,0,0,24729,1647,126822,0,18477,15521,4365,9800,0,0,0,0,3212,0,16879,37071,0,46249,0,1996,3157,0,473,36172,5269,88225,0,0,0,1685,0,79903,65727,0,29445,3872,0,3727,7009,0,181322,12948,147,0,122876,0,2768,46817,28346,458991,0,0,2667,0,0,1073,10084,162428,0,9104,7745,0,0,0,8235,"[Clostridium] innocuum"
"Streptococcus parasanguinis",7027,1506,655409,0,0,8444,0,1270,116,9659,0,2909,0,0,2723,19208,7555,6055,24344,0,0,0,0,0,0,10679,0,0,0,0,12207,0,0,0,0,7903,2405,6370,2418,107943,0,2030,1635,2159,0,24916,0,7874,3420,4418,28747,5791,665,0,4697,0,2515,0,0,27624,10785,10617,4099,0,0,0,0,2868,192,0,0,0,13726,0,20607,0,0,0,2539,0,0,7873,0,0,0,322889,0,0,0,36520,0,16265,0,5965,7179,0,0,354,13494,0,11474,7796,0,38886,105,0,0,2630,3238,0,0,0,0,21747,4746,0,10872,2589,0,3128,3010,30280,0,4211,0,12976,109909,0,0,0,288,0,1748,310,0,0,0,0,0,2858,1261,0,0,0,0,0,0,4583,4476,0,0,7527,0,0,0,2020,3366,3915,0,3787,0,0,0,0,0,0,0,16465,0,0,0,0,0,0,472,0,0,212812,0,0,0,0,0,0,1010,0,4202,0,0,0,0,1243,0,4147,0,0,0,0,248917,0,19452,0,0,0,48958,0,0,0,5830,661,44454,0,0,0,3644083,0,806,0,98281,3654,21906,640,0,0,0,0,0,1160,0,173,501,153,10448,16514,963,0,0,1773,35826,0,0,0,0,0,0,19034,53379,0,0,19803,0,0,11969,21596,25357,100612,9732,0,3220,41029,0,20801,8713,6853,5455,536,0,1165,0,0,0,0,2071,11232,0,30367,3566,573114,424777,13429,4766,0,17517,9842,48554,0,0,24071,7936,26024,2497,8959,2147,0,0,0,18256,14023,3335,125,0,0,0,106358,10320,2320,0,24764,37669,6190,0,21369,4438,5324,0,0,11788,0,22814,3500,21401,0,439,3193,0,0,0,0,51575,5675,0,0,0,7891,15233,0,0,0,0,0,2724,9475,3702,14011,4677,0,0,1244051,0,1693,28830,0,3096,73643,0,9911,0,0,256,3045,47678,0,6942,"Streptococcus parasanguinis"
"Holdemania filiformis",6913,30426,1987,31953,0,37989,0,0,0,249,0,0,0,3559,0,0,22374,1196,10807,0,34489,0,0,0,16192,5795,0,718,0,0,2185,0,0,20038,0,0,1303,0,14342,0,75281,7221,5475,28759,25011,0,0,2569,20123,0,0,25821,33817,0,32120,8139,17187,0,0,0,0,0,3910,3136,0,18181,0,3795,0,5983,20155,0,3013,0,1516,352,0,7002,0,0,5112,2830,10567,9237,8931,0,0,331,2194,0,5101,56952,1045,0,0,0,8523,5318,4365,0,738,253,494,0,0,5488,0,0,0,0,0,0,16863,7612,3677,0,12227,0,0,0,0,0,24681,0,6675,0,539,0,1086,0,57653,8068,0,0,0,0,60424,6262,0,35259,0,0,3121,0,16045,677,60651,0,0,815,4496,19992,0,0,0,0,5459,0,0,0,6726,3301,906,0,0,1715,9800,6195,12895,15282,4795,2695,3736,1868,920,0,2815,5437,1371,4180,4627,8983,1851,0,0,241,1014,0,0,5028,1555,835,0,0,2472,0,0,2470,0,0,6683,0,8578,0,0,8077,0,57535,0,0,0,0,473,12855,0,0,13448,3372,1240,13447,0,1028,0,0,0,63342,0,49397,3518,0,0,15494,0,0,0,0,809,0,0,1476,0,21233,2740,0,0,0,3440,0,0,4403,0,0,0,0,121283,0,0,0,0,0,0,0,8082,2173,0,0,20947,12975,31094,0,10447,0,2655,4669,76388,0,0,30268,4050,10122,9715,23812,201,0,0,24958,0,0,1173,1244,14336,2697,0,862,2935,21797,5897,0,26373,0,2417,75534,27848,13189,22387,0,73032,0,0,0,10091,23712,0,12246,0,135,0,6267,0,15795,0,22663,32430,10624,18760,1216,0,5144,3884,0,0,0,99520,8342,20405,30521,3614,8904,0,33017,7005,0,26414,0,0,0,3094,0,0,0,0,0,7668,0,22072,0,0,0,0,62360,0,14772,13972,"Holdemania filiformis"
"[Ruminococcus] gnavus",6109,4684,0,149347,10504,17297,961796,401152,928758,260404,0,1601737,133733,170099,127662,3610958,252890,374148,276155,0,102000,4429,74694,0,11448,0,0,1125283,956202,6180,86139,0,0,0,9031,15361,0,21915,636728,0,0,7532,94197,66318,1081669,225231,0,79930,508862,124653,2696970,122120,38349,2228,71577,1525,0,16466,24109,1813841,1153,18498,0,91270,1808377,2512,165265,0,5513774,0,0,0,59054,509730,29650,0,133137,148056,32976,0,0,0,139793,2600,285376,36130,117417,54166,0,177414,34784,111941,0,418901,34450,1344532,116928,67287,939,18446,23531,128266,30397,699723,2458,6976494,0,0,1924,0,0,753258,0,0,9646,0,12147,157988,684390,2530,0,0,196240,380210,0,1275,363557,124774,18625,39197,23765,5327,1075826,323762,0,1932167,34225,9365,191105,372263,19530,0,0,41478,5695,0,274305,3714943,50390,24037,0,3640,28112,617292,480738,293592,2575,0,299823,1323710,79747,6569,67765,0,147067,166775,113908,23142,21347,2257,22214,368908,8971,1457,10146,69423,0,0,66729,1591,0,367611,0,357448,0,0,0,131783,0,68033,16043,449,0,211729,29300,0,236582,60267,0,674,65408,826680,50775,0,994,1293,0,1313292,0,0,545151,174133,0,154,1938213,649286,19808,14366,1800,250,3345,0,609789,27498,61720,9306,84133,3032,11297,2935,445,0,7462,1370067,823054,120625,0,113480,2216,3182,0,7706,78225,183387,0,2561,86287,0,18990,174224,125276,29656,1260372,610890,942340,515679,34876,282251,132411,3614,4622,0,456243,0,41887,40876,31679,0,9099,2333410,0,118169,64595,204174,748008,9840883,3954,92020,24967,0,480694,56714,0,100037,116405,84962,178586,734563,1185,187935,90828,0,29712,96255,0,177356,8690,93088,0,580763,2076294,34554,1725861,164099,25627,9104,80435,4148,67460,209584,51803,5472,4549,165509,270054,188865,12395,22416,24933,42718,64083,3468,3539072,193644,0,194938,26496,412,0,4808165,0,969033,14865,708492,40762,126748,639163,3418,1380942,0,0,517,3252965,24387,68726,625677,19292,34663,84361,4936,0,0,74530,44758,0,60070,80,4214912,0,0,0,0,634316,"[Ruminococcus] gnavus"
"Butyricimonas synergistica",3995,0,240,0,5349,0,0,0,0,0,0,0,0,0,0,0,0,1399,0,0,0,0,0,4643,0,0,0,269,0,0,0,11671,0,12224,0,16654,0,14931,1478,0,383,53163,558,0,0,0,33166,72,0,0,0,19559,118327,10997,0,7581,0,22652,520,0,2987,2792,9481,0,0,0,30995,0,0,0,1886,0,4705,0,0,0,0,3891,0,0,1097,0,0,69611,0,25364,0,6109,4508,0,0,0,0,0,0,0,0,12987,0,0,32391,0,0,0,0,0,0,0,0,121,5610,0,3578,14315,85,0,277193,0,0,80934,0,0,0,0,0,0,3004,0,90191,88,5058,184,0,0,23992,0,12627,17485,0,45210,0,7712,15597,0,19469,219122,0,0,0,3759,1945,0,0,0,0,0,0,25372,0,0,0,0,17570,0,0,0,0,1459,0,116,0,0,0,0,4103,0,0,0,81615,0,0,0,0,935,393,12316,8708,0,36948,980,93,3647,105,0,0,0,0,814,10028,0,995,0,0,0,4080,38346,0,1983,1243,0,14808,29624,1601,3963,0,0,2548,77,0,82824,0,29245,0,75,0,0,1226,635,6639,293,0,36805,0,0,0,9074,2851,0,0,0,0,24671,0,0,0,2038,0,571,42219,1472,0,0,0,0,0,0,0,0,0,0,0,12956,0,17294,0,0,0,0,0,0,443,0,0,0,0,0,0,288,343,41623,0,0,10485,0,0,0,0,0,10615,2368,180176,305,0,0,343,1149,1899,858,0,0,2002,43330,0,0,8395,55392,32740,0,0,82,0,0,0,0,2576,0,838,51002,67,1347,0,52856,0,0,0,1134,0,2895,13239,1021,0,0,17774,0,23588,0,0,23364,0,0,111572,0,0,0,0,0,2641,0,84163,0,15307,0,0,0,247281,0,0,0,0,37183,0,556,0,"Butyricimonas synergistica"
"Lactobacillus rogosae",3655,0,0,0,49875,27195,0,283,0,0,0,0,0,6094,0,0,0,0,0,472,526,17789,0,0,0,15152,519,0,0,2714,160392,0,0,0,0,0,0,0,0,0,9885,34292,10076,0,0,0,0,0,0,0,0,102886,0,0,0,5298,9032,2588,799,0,0,0,0,0,1624,0,0,862,0,0,0,0,0,0,28638,19713,0,1451,0,0,0,0,0,0,19201,0,0,0,7085,0,0,0,0,16202,34788,0,0,52288,11252,0,8877,0,4175,1532,340,349,70475,0,0,0,529,0,0,0,0,0,0,0,0,0,46690,0,335,0,0,570,0,0,23613,753,0,0,0,13550,0,0,2491,0,7978,654,0,2843,14543,0,0,0,0,0,0,10710,2422,0,0,0,0,0,0,0,0,0,0,0,37303,0,0,0,0,2192,0,0,0,0,18049,0,0,5667,0,0,8827,0,0,0,0,999,5612,0,59823,0,336,0,0,0,0,0,2131,0,0,0,29864,0,0,0,10339,2446,0,0,0,0,0,0,0,0,83200,1086,0,0,676,0,0,9061,0,0,4929,0,0,0,0,0,3710,0,0,0,0,74653,0,55682,0,0,1056,0,0,0,0,0,0,0,40855,310,0,0,715,0,0,0,0,4349,0,12500,0,0,1029,0,0,0,9841,0,0,0,0,0,0,0,4104,12653,0,0,1401,1499,25128,160707,2054,0,0,0,1428,0,0,0,20917,0,0,0,0,0,9468,1486,0,349,0,0,0,0,0,932,0,10690,0,0,0,124818,45228,0,10938,4755,0,0,0,0,0,422,0,4002,0,0,0,0,0,0,0,0,0,0,1085,0,0,0,0,0,0,0,0,30006,0,1168,0,0,0,0,0,0,0,0,0,2183,2396,0,0,0,0,33691,8921,0,0,"Lactobacillus rogosae"
"Bacteroides faecichinchillae",3103,459,0,0,12664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,6098,0,0,1567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,0,0,0,4388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,917,0,0,0,0,0,0,0,0,0,0,274,0,0,0,1459,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,0,0,0,0,0,0,0,0,0,0,2102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1881,0,0,6444,0,0,0,0,0,0,0,0,0,"Bacteroides faecichinchillae"
"Eisenbergiella tayi",3046,0,0,0,25059,0,9433,0,0,0,0,0,0,0,0,0,0,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565,0,0,11559,0,0,0,0,0,0,0,0,0,0,0,2379,10636,34101,0,94851,0,156,5506,966,0,0,0,0,0,0,0,0,0,0,0,0,0,7672,0,960,0,0,0,0,0,0,0,13616,918,0,7918,0,0,0,0,0,0,0,0,0,0,5908,1037,179,0,0,0,0,0,0,0,0,7078,0,0,0,0,4245,0,0,0,3950,0,0,0,0,0,0,0,58310,0,169068,0,0,0,28774,2251,0,0,792,0,8549,0,0,2781,0,0,0,0,0,453248,0,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1485,74706,5712,10999,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3286,0,0,2434,355,0,2312,0,0,0,0,0,0,3513,0,0,2050,0,0,0,0,5437,0,0,0,1379,0,0,0,0,0,0,0,0,0,0,0,761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033,0,0,0,1386,0,8229,0,1700,1187,0,11694,6261,0,4343,0,0,2517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119225,0,0,0,0,0,0,0,0,91916,47397,0,0,218,0,838,0,0,0,2354,194459,0,0,11935,233314,0,0,844,1098,0,0,0,10318,0,3354,0,590,0,0,683838,0,148255,17063,0,16547,0,0,112168,1267964,616,0,0,0,0,53228,0,124349,1425,0,0,0,1424,1355,264868,0,0,22986,0,0,0,464,643,"Eisenbergiella tayi"
"Ruminococcaceae bacterium D5",2988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15482,0,0,0,0,0,0,0,0,166884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,0,0,0,0,0,55866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10072,0,0,0,0,0,0,995,894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904,0,0,0,0,0,563,0,0,0,0,50645,0,0,14447,0,0,0,0,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10419,0,0,0,6933,0,0,927,0,3128,0,0,0,0,0,0,0,0,0,1545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980,0,0,783,0,0,0,0,0,0,0,991,0,0,0,0,0,0,0,0,25733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8264,0,0,0,36362,0,0,0,0,0,0,0,0,0,1703,446,32065,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790,0,0,0,0,0,10872,0,0,0,0,3571,0,0,0,0,0,0,0,0,0,12664,0,0,0,0,0,0,0,3477,0,808835,0,0,0,403503,0,0,0,0,0,0,0,0,"Ruminococcaceae bacterium D5"
"Harryflintia acetispora",2865,115,0,0,2263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,0,0,0,0,0,0,0,0,0,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1596,0,0,0,0,0,0,0,0,1649,0,0,0,0,0,0,0,0,0,0,0,0,0,2173,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8668,0,0,0,0,0,0,0,0,3142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473,0,0,0,0,0,0,0,0,0,0,0,0,314,0,0,0,0,0,1380,0,5285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5702,0,0,0,0,0,0,0,0,8862,0,0,0,"Harryflintia acetispora"
"Enterocloster lavalensis",2715,2179,0,3551,507,0,738,0,0,0,0,0,0,0,0,0,3275,0,0,0,0,1298,11451,0,0,0,0,0,0,0,0,0,0,0,33362,3547,0,0,35751,0,0,0,0,0,0,0,0,0,0,122218,0,490,0,3843,86326,954,0,152,0,170624,0,0,0,0,0,774,0,1478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,0,0,0,0,0,0,0,0,0,0,0,63657,3399,2152,0,688,0,0,679,0,0,0,0,3066,0,0,0,449,705,0,0,0,74,0,0,0,0,0,0,0,0,0,17973,0,0,0,3058,8669,0,0,0,0,3255,1676,1292,0,1784,0,0,0,0,0,0,0,0,0,0,9888,0,0,0,0,0,0,0,13519,0,0,0,0,0,0,0,0,0,624,0,3107,1763,0,0,0,8615,44621,1946,0,7057,0,0,0,0,0,0,0,0,0,0,0,0,28896,12709,0,0,0,0,3135,0,0,0,0,7776,0,0,0,0,0,3419,0,0,0,0,0,0,0,0,2174,0,0,913,0,0,6797,4410,20563,0,0,0,0,0,0,0,0,0,9873,0,0,0,0,0,1179,0,0,0,0,0,0,0,1345,0,1676,1350,0,0,0,0,0,3356,0,0,1877,12465,213,0,14771,4140,0,939,0,0,0,28548,0,0,1812,0,0,0,0,0,0,0,0,0,0,0,3231,21709,0,120,0,0,0,0,2409,2887,0,0,0,35470,0,381,304,0,0,0,1398,0,0,0,0,0,4250,0,0,7188,4252,20119,19827,0,0,0,0,0,696,0,0,16695,101702,0,4244,493,0,0,0,0,22419,6831,0,95588,0,0,18268,0,64100,1979,0,1033,0,0,1061,3663,17640,0,0,0,0,0,0,993,"Enterocloster lavalensis"
"Enorma massiliensis",1474,0,0,2840,723,2908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2737,0,0,0,0,0,0,0,357,0,0,0,0,0,2282,0,0,867,813,26687,0,0,11023,299,0,0,0,0,0,0,0,779,1191,0,0,575,0,0,0,0,0,0,0,0,0,167,3827,0,787,0,0,0,277,295,0,938,525,0,0,0,0,0,408,0,13018,0,0,0,0,0,0,167,0,187789,0,1833,0,2705,0,3900,619,0,0,0,254,0,0,4011,0,0,0,0,368,0,0,0,2083,0,0,2236,0,0,473,35076,1309,0,0,0,1491,0,0,394,0,0,0,1016,23297,0,0,0,0,770,5963,0,0,0,0,0,0,0,0,0,21573,0,0,0,507,959,0,0,1409,0,0,502,0,0,2060,0,340,0,0,2602,0,626,0,0,191,159,0,0,0,102080,0,0,0,0,0,0,0,0,0,0,0,0,6117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,0,0,0,1894,0,0,0,0,0,0,0,755,0,0,0,0,0,2802,0,0,0,0,0,0,0,0,0,575,0,0,1245,0,0,0,1363,0,207,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24997,0,35661,7975,0,483,0,0,0,169,0,2186,0,0,0,0,1230,0,0,3139,0,0,0,241,0,0,1820,897,371,969,555,0,0,0,2073,0,665,1956,0,489,18197,0,0,2901,2458,596,962,21008,643,1481,0,10900,0,0,0,0,0,1259,0,785,0,0,0,17823,3923,0,15030,7608,0,0,0,0,1373,319,0,0,0,119504,4811,1621,480,0,892,637,1719,1073,4969,0,0,4816,5339,0,0,0,805,"Enorma massiliensis"
"Collinsella intestinalis",1404,1644,0,2778,5510,11552,0,838201,216,200,0,0,0,0,0,798,0,0,0,0,160066,5933,0,896,0,0,0,783,582,170,0,0,1453,226,32674,7851,441,1299,4724,0,0,0,2667,1365,0,0,239,0,1149,0,0,7500,2903,0,0,2202,2870,0,0,0,0,0,0,0,0,2068,6581,2362,6101,0,176,0,662,0,953,1577,1704,1023,706,0,2298,1340,270,1374,1977,19411,0,0,33372,42016,0,1925,310,1032,31843,7084,0,814,0,0,1019,0,0,0,0,0,0,1209,0,0,0,0,2333,1027,0,0,8149,0,0,2220,296,0,2357,0,4086,1117,0,0,3876,0,0,716,0,0,0,1127,186069,0,0,825,199,793,7037,0,0,0,0,0,0,0,621,0,0,0,0,0,2906,10213,3732,0,5637,1250,1278,1103,0,0,0,4886,1475,618,0,0,0,7945,0,5287,0,3556,0,0,2152,217,414,0,523,0,673,0,0,0,0,0,0,0,0,396,2237,0,1110,0,0,0,0,0,0,272,0,0,0,0,2128,17934,0,1648,117455,0,0,209,0,241,0,0,3759,2949,2048,290,0,0,0,617,0,306,0,0,0,0,0,234,760,0,0,4263,0,458,0,2783,0,24786,0,0,0,0,11116,0,0,0,0,0,0,0,1200,196,0,0,0,221,0,0,0,0,38438,8024,1798,1729,0,0,609,1008,1611,2499,215,0,0,0,2078,604259,0,8268,494,170,813,1875,2782,0,2306,0,403,465,40455,55302,191,0,459,335991,0,591,1650,918,0,0,249,2232,2388,2845,2174,3961,206,6299,0,0,0,404,0,0,0,0,0,3250,0,0,606,627,3664,214,415,0,1515,0,0,1804,3192,1580,0,0,0,1432,7263,201610,204,0,12956,223,14963,3942,3732,0,0,1065072,4917,2617,170,0,116879,"Collinsella intestinalis"
"Sharpea azabuensis",1382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,0,0,0,0,0,0,0,0,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1713,0,0,0,0,0,0,0,0,3241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,2015,0,0,2462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0,0,0,0,0,0,427,0,652,2051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1067,0,0,0,0,179159,0,0,0,0,"Sharpea azabuensis"
