"","SID31004","SID31009","SID31021","SID31030","SID31071","SID31112","SID31129","SID31137","SID31159","SID31160","SID31188","SID31219","SID31223","SID31233","SID31236","SID31237","SID31256","SID31267","SID31275","SID31276","SID31282","SID31285","SID31300","SID31328","SID31333","SID31337","SID31343","SID31360","SID31367","SID31379","SID31398","SID31416","SID31424","SID31428","SID31431","SID31446","SID31449","SID31450","SID31452","SID31455","SID31477","SID31489","SID31493","SID31501","SID31512","SID31519","SID31537","SID31549","SID31557","SID31582","SID31637","SID31685","SID31700","SID31705","SID31711","SID31714","SID31723","SID31749","SID31750","SID31766","SID31865","SID31866","SID31868","SID31870","SID31871","SID31872","SID31873","SID31874","SID31875","SID31876","SID31877","SID31878","SID31879","SID31880","SID31881","SID31883","SID31884","SID530002","SID530018","SID530026","SID530028","SID530039","SID530041","SID530050","SID530052","SID530054","SID530055","SID530074","SID530075","SID530119","SID530142","SID530154","SID530163","SID530167","SID530168","SID530172","SID530177","SID530185","SID530215","SID530227","SID530251","SID530258","SID530262","SID530295","SID530297","SID530315","SID530323","SID530331","SID530348","SID530364","SID530368","SID530373","SID530394","SID530398","SID530403","SID530444","SID530450","SID530451","SID530558","SID530600","SID530623","SID530697","SID530705","SID530743","SID530756","SID530840","SID530867","SID530890","SID531128","SID531155","SID531248","SID531274","SID531277","SID531281","SID531333","SID531352","SID531361","SID531382","SID531403","SID531414","SID531416","SID531424","SID531469","SID531663","SID531766","SID531775","SID532305","SID532749","SID532779","SID532796","SID532802","SID532826","SID532832","SID532915","FeatureID"
"Phascolarctobacterium succinatutens",299584,0,0,0,398754,43821,0,0,0,1280154,136276,0,640351,0,0,0,0,71600,602817,0,0,0,695818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53247,0,0,0,0,0,0,0,3603,33235,0,0,0,0,0,0,99523,0,3241,10918,0,0,0,0,0,809040,0,0,0,0,0,0,0,0,0,0,0,0,2029363,0,0,0,0,161811,0,0,8082,0,0,0,0,1254,0,0,35220,0,25113,0,0,61513,867707,2818608,0,0,1578,0,0,0,0,0,0,0,0,0,918,2876382,0,0,1122411,0,0,5147494,0,0,0,583467,0,0,0,0,0,24054,0,0,0,650353,0,0,0,0,912484,0,0,0,0,956219,0,0,63735,0,0,0,"Phascolarctobacterium succinatutens"
"[Eubacterium] rectale",296476,207493,5265159,1386703,242138,315,1425793,4659,1755407,0,462799,386689,52741,2822027,1892,6043,1613678,2208,841068,530574,5889452,8178,0,3587071,6494776,0,19732,4381009,94472,1603134,238262,6090,11658708,2185286,132948,358525,3767027,0,627268,489665,4858257,182805,579295,1796,5170542,3501679,35632,75837,427,2651473,7529242,19652,186333,26692,5441,122570,58117,0,180791,121319,8883,1087744,1098161,2085,1929430,5087,439266,3083271,6336,214775,1095339,7159,34296,76300,221348,30761,5672,2128022,783053,1359419,36861,1726337,55147,2746676,905767,4694,5592939,2145,855427,101950,7029570,0,18143,224901,7403306,3136622,0,803907,678681,6438,4866715,12175,81285,2178487,3106061,435375,62424,5602739,1191383,5262959,982630,1861174,7185844,4653051,1821406,134508,0,66936,1352,115804,24798,12881,4265,44811,2366,143853,1892114,1437191,1249228,475952,1160140,28704,5050701,2496891,3316671,605866,693594,156982,9780,0,3915321,5832,424383,1181621,78363,1607923,101,0,2200899,2328001,5250865,3639825,8964,27294,"[Eubacterium] rectale"
"Blautia obeum",274092,788271,895746,216216,518098,4786043,459364,749,6095,442138,111346,142331,168618,447106,106022,991680,2950418,596750,154804,1288614,408616,1114789,162340,337539,107992,323806,135429,220307,138701,1715144,253449,13203,4619301,1000570,81154,328326,1717455,368416,137241,155956,833363,351555,749417,0,1541871,349732,410629,1699253,894409,1684271,305,178691,399125,13738,0,294467,46460,1556437,240187,571962,6792,430781,182047,639591,393866,191597,846876,52970,356605,516415,682167,536433,324571,117209,1004156,22819,334000,1174436,622960,168834,538586,718326,208269,115665,440103,1045236,296284,848006,249352,1638422,1513524,155933,0,1454573,522296,3489075,8389006,492434,147002,0,182837,3023862,266484,594578,168527,1498686,1316311,49689,345897,276017,330219,24472,166745,200396,2190507,2790973,73561,279913,0,48412,64272,872728,0,0,0,76185,290314,510073,946762,1085438,133259,13507,155163,838214,4149010,915305,27428,1982,0,366912,784562,0,271130,281695,221541,0,0,1874410,28406,545819,319880,65192,635401,495861,"Blautia obeum"
"Agathobaculum butyriciproducens",249255,71033,442636,423397,87668,0,205438,2815144,84751,565505,115021,304679,13629,173491,1053104,368008,0,690004,89541,191510,1013010,101761,320483,722889,252482,59424,248114,1156586,18905,923675,249880,5376815,313421,89126,54868,419539,1799766,0,1269701,296448,453268,8670,1307888,0,1180971,313415,272248,331437,24036,186995,53562,43292,4259301,133247,722691,435327,61543,1480988,94238,875383,193457,52409,111684,0,231776,300826,19787,123534,275068,157088,90119,227507,23502,21138,8503,1667202,5762,593401,129087,1140628,739188,360066,7216,25165,417020,222368,576425,240346,704056,466903,660193,0,0,0,189329,119616,585941,150016,187213,0,89735,618645,39489,45858,239735,509407,437134,339844,147284,795188,0,210237,644677,308738,89038,39249,995166,851749,1201610,118719,283645,443890,545793,214903,0,6476,313001,767112,559635,1415928,188399,30311,772095,313267,11402,181901,62875,81951,0,203051,823966,0,450136,998786,80762,674043,256551,1125479,38015,151896,474333,645467,361003,77196,"Agathobaculum butyriciproducens"
"Bacteroides xylanisolvens",243811,59914,0,22912,0,94418,0,0,542,0,55289,0,30993,0,122692,443,0,55269,0,13776,0,0,141340,21476,0,0,0,53039,17596,111644,0,0,0,66,111497,35829,2338,164345,188006,282885,6571,7172,16325,384235,0,135712,14100,16479,4507,0,0,0,5196,0,0,0,13271,0,11490,15410,10470,59964,193990,15391,4163,181118,10715,732475,0,185369,669628,13019,1342,126341,161214,1240121,13682,0,0,443,456676,0,9476,32439,0,3566,102032,0,93659,42638,11700,0,0,182051,0,0,307,570159,0,0,0,41367,0,5253,29080,0,0,44990,0,16529,0,156853,559803,1845,72,0,0,0,1108,27409,58758,1506,0,116722,0,26132,327116,224795,125687,73333,21015,9221,42188,86451,0,0,268675,125340,0,0,326446,338238,2572,1479,1715,75536,0,0,92762,26923,25730,31189,4843,0,"Bacteroides xylanisolvens"
"Bacteroides ovatus",212324,165,23009,7419,11511,0,0,0,1283,0,11021,0,15881,4608,0,2241,2923,88765,1898,54316,38279,0,0,73728,44045,70011,399674,49083,28778,33452,18224,18645,4270,108,29741,73459,30001,21878,0,102232,640,0,6214,0,11885,16605,7108,69561,0,0,1678,6329,26885,0,0,0,0,2768,11829,0,16457,2418,60961,40744,2200,185828,2706,209494,100235,357658,843958,165403,6991,3454846,26486,3054451,17221,5054,0,534,0,0,44964,220652,768,0,54767,2784,114760,22921,6912,0,20392,0,1010856,0,2166,322697,7034,63037,2673,23449,2361,44698,0,0,0,619584,0,99571,1647,49053,0,63171,0,0,94872,12105,194142,44911,4314,175288,0,16779,0,0,109376,201671,14603,30381,62777,39396,31358,2044,129149,0,0,1804512,1030,555868,242424,5430,1173571,106379,694388,2134,96036,91275,16704,240999,954,792,5383,486971,"Bacteroides ovatus"
"Bacteroides thetaiotaomicron",201073,552464,16431,0,4010,19740,0,0,4194,3000,56618,106232,54198,308,59549,6540,0,24489,1976553,29844,164524,0,44004,225205,6659,0,188282,362644,23181,33307,0,2540,89,0,128503,2030870,14460,182496,49170,26284,1149,0,22719,123281,16338,27363,0,5658,5340,0,0,117253,0,0,0,0,62174,3419,0,0,11398,0,57218,0,0,23296,46127,690,152,333077,0,177725,705,2006668,343676,130524,628870,889,0,0,524806,2504,6713,45731,0,44114,86871,0,35561,13648,45570,16211,0,0,0,0,36582,237689,5783,824903,0,34207,0,0,26088,0,0,327573,0,0,0,0,0,0,0,0,206982,4485,212812,22429,418348,335785,2202571,73544,0,48411,260406,78580,108381,12524,107443,2166,2287,3826,36187,0,23709,237512,0,98508,151311,1875130,393,333753,4050200,0,0,58412,754227,262206,145049,13629,11888,83227,"Bacteroides thetaiotaomicron"
"Streptococcus thermophilus",185012,5217042,636815,0,17584,109242,1378504,19379,99405,27995,0,142770,18378,3567303,23638,1491,3703,107180,6810,0,17534,4730,722621,236294,98616,112708,1007,141626,66785,2510133,188164,0,0,758,27532,499697,68428,0,99391,21929,40715,1513,1409,16611,1570,274508,456185,0,1225259,336020,0,0,77703,3068,3536,1978,574108,70411,84067,551712,379452,519072,925096,42657,1324,4558,0,0,79763,46017,1502,0,0,173508,95937,0,0,2188,15205,499450,319548,0,720933,953,560797,212563,182353,0,20462,80011,30540,1206677,66982,500157,173702,2690346,1026699,95650,567,0,1625004,21352,112509,0,651321,64792,0,119015,2945,0,102463,459820,105085,0,0,0,175995,9960,161796,0,8134,59414,0,0,81644,602943,0,0,1262,4931680,3996,0,0,82257,0,54427,16369,31628,0,7215,2122,0,984658,0,0,5670,88772,226617,750025,44287,336078,0,122681,97261,"Streptococcus thermophilus"
"Eubacterium ramulus",171323,175246,33787,84208,1024265,0,7779,0,0,82163,1244554,123308,1623,290639,135052,349231,156537,29951,74716,60120,199403,52742,181259,322765,6534,0,11896,121360,2738,165398,230565,0,245098,336402,22093,186485,121933,6535,239422,71666,232645,34047,22575,0,104248,311086,128251,248201,116188,150577,0,1138,20723,2105,0,4424,0,141048,80584,109536,542995,300050,13868,0,538884,0,42598,17675,91899,13309,184562,190435,32003,55448,10218,521730,19581,713362,125769,63464,99923,131553,37469,94396,0,64014,82403,87203,97810,136509,182631,3613583,13248,0,324892,35934,180714,115942,0,0,0,112698,135373,230831,749070,50476,34833,504701,400,168164,99097,58855,160385,58912,108094,68283,0,36435,0,22240,23445,87644,0,62186,0,33595,99327,169877,107835,190172,51248,7742,259331,60071,1737063,18780,0,0,0,17962,12310,0,0,107618,244384,0,0,0,8158,0,12971,0,100285,68538,"Eubacterium ramulus"
"Bifidobacterium adolescentis",142445,1439210,3904887,0,3440616,11379264,6503,0,18217187,607,64252,0,527570,0,2974464,991928,3017,56404,1894,767142,0,4779,467832,3667,7705877,4591,2394,1933954,161244,1030980,74915,0,8210052,223,3104716,9079,3344477,7650,1523819,3872078,1786308,1214910,795370,0,4539137,388971,2519420,2852411,10797045,3664109,4180631,149329,3114230,0,1175,19054923,49513,3417171,388273,0,6689,30630,349562,12265444,12770612,4947,4854062,1877217,90118,2042431,41824,236850,22484265,151979,5390712,121370,12204438,273143,11709700,20632523,3203,2137,3664307,0,8559061,13315128,5226248,237,124885,22293445,538741,0,0,0,0,0,2266,0,14736775,0,1658,3541357,175294,1277,4903827,4725392,14354458,1738977,7716372,4495334,0,0,0,14971,1947905,1117465,754357,405556,0,4916547,2497468,530534,0,409,0,816861,220203,1680462,1609396,124316,259516,23716,6130,3034561,80965,0,0,5820,0,629621,5546152,5983,4868,0,0,3731,0,5778257,165188,686824,1044933,1025324,0,3622307,"Bifidobacterium adolescentis"
"Eubacterium sp. CAG:274",117141,0,0,0,51514,0,332690,239628,45455,0,0,113805,0,0,0,977596,0,12138,0,1418458,0,0,363681,0,0,0,0,0,65489,1671330,0,13774,417083,0,0,1098932,754842,51940,0,0,0,0,22149,0,383687,0,0,7082562,0,0,187708,0,0,0,0,134748,0,1020275,145,243568,174203,18008,492676,0,0,0,62458,53271,0,68900,0,0,143902,110871,23335,0,0,343091,566,0,518714,0,9209,0,13020,0,474728,0,0,0,1049656,0,0,277921,0,0,0,0,0,0,0,298078,0,238912,0,0,0,0,2347598,101108,0,0,770839,0,7501,0,0,0,0,0,0,0,81826,0,0,32027,367819,2965,0,252,0,0,0,0,0,2300,396803,0,0,0,4731,0,0,0,0,0,0,1527779,183771,375104,0,0,518035,293316,"Eubacterium sp. CAG:274"
"Lactococcus lactis",104675,66326,0,0,1610,9293,0,645,0,18426,0,32874,0,45971,11068,0,0,35315,0,2700,0,0,0,0,0,1455,0,0,5744,26338,2436,0,23832,0,49638,0,0,0,1389,0,243,0,0,0,0,0,13414,0,0,6578,0,0,0,0,34648,0,0,0,10794,0,2460,17446,112520,28142,0,22513,7196,0,0,235655,0,0,13742,0,0,0,4528,10858,0,0,0,0,0,18170,0,468,0,0,0,32056,357,0,96731,52445,11225,861,122746,19561,0,0,0,0,190109,27876,0,0,0,0,0,0,9537,274,0,0,0,0,108015,0,0,0,0,0,0,0,0,0,0,4483,7800,0,5710,0,0,17349,0,0,957,0,0,0,8120,0,42983,0,0,16601,0,0,0,0,0,0,0,0,"Lactococcus lactis"
"Eubacterium ventriosum",97203,65123,50400,551326,25505,0,340145,0,0,1674,4090,0,1160,0,0,589,108829,167849,1398,65937,1406628,117605,52718,642447,0,0,0,32320,57039,23140,276092,0,3688,18435,58989,11814,17436,0,187843,4242,20150,118101,4852,0,6299,76135,357118,0,0,99446,0,6299,35724,0,0,11745,12151,0,148804,80392,277375,247501,107891,0,3524,0,52721,493200,160856,71131,0,3200,34016,0,339136,5011,71891,0,0,0,155801,0,49447,5113,596098,20329,621577,0,23644,11460,916300,0,0,577250,0,0,0,0,84273,0,0,195153,0,14880,0,0,497,31623,0,0,0,0,0,425563,5712,220039,0,65324,0,93047,471383,104866,29036,63493,0,65224,481707,422946,0,42550,104948,0,165607,0,0,0,76506,0,0,0,4049,0,707740,0,112945,1541653,0,620869,353726,0,206348,0,406854,219927,"Eubacterium ventriosum"
"Flavonifractor plautii",90279,9612,18820,0,87279,118500,0,240762,9553,0,7330,0,0,0,86135,5627,14987,4037,347404,0,27402,8868,0,2451,11262,0,7535,112319,9842,59871,7224,0,0,56286,35433,568201,32608,191233,31806,14939,0,0,14610,69743,11294,0,91,3870,0,0,0,9918,1372,0,0,0,58137,23977,4774,844,18571,4799,118189,13520,883,198966,58485,52224,35387,127712,157557,21173,17495,0,38709,413202,139965,4586,0,0,18436,332,0,58833,0,17296,1345,3896,15659,970,76510,34900,4250,95226,32451,0,0,3379,2028,121608,0,0,17800,0,355,0,0,9383,0,19833,7290,2406,234178,4164,0,0,7873,0,125152,8435,21400,4574,255965,2535,363241,8854,12705,29125,35901,74742,3166,2898,197711,8108,968433,25989,188584,726206,7007578,89307,195755,0,72341,160171,100830,194295,313058,559523,17449,124379,6583,2464,36528,117914,"Flavonifractor plautii"
"Lacticaseibacillus rhamnosus",78864,0,0,0,0,229,0,0,193,0,0,0,0,78375,0,56628,0,0,0,0,0,0,3670,0,1874,59774,0,0,32773,152122,185934,0,0,0,0,402783,0,0,18758,0,0,0,600,0,0,0,0,6906,111653,246,0,0,0,0,0,0,153217,0,0,15217,1174,19788,355836,0,0,0,0,0,0,10557,0,0,0,18890,0,0,0,0,41601,4497,3703,0,0,2133,0,0,0,2216,0,0,0,4490,49886,3457,0,0,0,0,0,0,31735,7623,0,0,14205,0,0,0,0,0,0,0,0,0,0,68578,0,0,0,0,0,0,6554,0,0,12867,0,0,0,93316,0,2332,0,7278,0,0,2608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lacticaseibacillus rhamnosus"
"Gemella sanguinis",77506,1739,6614,0,2696,11159,6726,0,4441,1238,0,0,1181,12120,539,567,15601,0,0,0,7096,0,7493,12430,2341,0,18892,4510,4015,82399,206674,0,60289,3813,1904,44419,16187,0,0,0,34293,4255,23882,1812,2684,25185,16764,5839,8837,1910,11737,0,34318,12871,0,15092,0,2750,1591,0,11950,8851,1148,62630,29238,0,1637,739,0,0,0,0,0,5314,0,7060,0,6792,8686,0,0,0,0,0,5219,2026,844,0,5814,2348,9417,71916,9145,4033,6812,8010,12648,5583,0,0,4485,36025,5725,0,5887,3159,5576,0,13987,0,0,7007,0,0,64712,0,13771,0,0,0,0,3543,13371,2187,0,1060,0,0,0,7585,3825,860,3944,21239,2962,2442,0,0,6243,0,0,0,35629,0,3813,6208,0,0,3331,722,589,30861,0,0,"Gemella sanguinis"
"Streptococcus infantis",69854,0,1812,0,1392,4179,0,0,0,0,0,0,0,7795,0,0,12733,1524,0,0,2398,0,0,590,353,0,9975,0,3440,60281,221855,0,13489,0,0,43705,10267,0,1416,0,0,0,3143,3177,0,716,1498,0,15898,0,2451,0,22481,4408,0,1830,0,0,0,0,889,485,0,46548,2720,0,0,0,0,6728,0,0,0,6040,0,845,0,0,0,0,0,0,0,0,289,0,0,0,2921,0,13220,10674,25802,0,397,5529,0,3840,0,0,501,4296,0,0,3285,2893,0,0,20716,0,0,0,0,0,8936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2928,3071,0,25678,0,0,0,0,0,0,0,0,8764,0,0,0,0,1399,0,0,0,1789,0,0,"Streptococcus infantis"
"Lactobacillus delbrueckii",69466,3290722,78576,0,123542,2354,134080,0,7190,0,0,0,0,5291,135940,0,0,6903,0,0,0,0,40053,0,0,0,733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67164,0,0,79790,0,10908,0,0,0,0,325985,0,0,4582,0,0,434,0,9904,13344,3146,0,0,0,0,0,0,0,0,0,58490,0,4864,13374,0,0,0,4300,0,2900,37158,0,7080,0,0,0,32067,0,14303,0,1077,0,6975,0,0,0,0,0,11264,0,0,957,0,0,0,0,0,0,2577,0,0,0,0,112201,0,0,0,0,0,0,0,0,10631,0,0,0,1272,0,77932,0,0,0,5026,0,0,7843,0,0,0,0,0,10868,3640,0,0,0,0,0,0,0,45398,"Lactobacillus delbrueckii"
"Hafnia paralvei",63172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hafnia paralvei"
"Latilactobacillus curvatus",50726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1835,0,0,0,0,0,0,1110,0,0,0,0,0,0,0,0,0,0,0,1470,0,0,596,0,0,0,8410,0,0,8392,0,0,0,0,0,0,2031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5753,0,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4316,0,11017,25501,9309,0,0,3426,0,0,0,2190,0,1059,0,0,0,0,0,0,0,0,0,"Latilactobacillus curvatus"
"Streptococcus mitis",47949,476,5301,0,18399,25042,44070,1649,28562,0,0,0,0,4454,4128,0,58330,0,0,0,605,3344,3694,9843,3241,41851,8824,1717,10882,94774,813076,21458,23160,11602,0,12902,1821,342,0,0,6316,0,28195,9970,0,7181,16805,0,32423,1238,95488,2426,23667,18893,12730,13451,0,0,1296,0,11573,0,3743,16094,2477,13752,426,4984,0,15499,0,0,0,20573,5048,4467,0,32251,19306,2881,0,0,7501,0,5068,366,0,0,2236,0,12703,129829,35337,0,816,23636,3593,0,0,0,0,37384,4421,0,11597,471,648,0,14292,570,0,2531,0,7577,25409,0,6574,0,0,0,0,734,2406,4577,5426,0,0,0,0,29889,5185,913,0,99921,1328,2177,858,0,9702,0,471,6276,47353,0,0,4546,0,2154,0,0,0,10006,0,0,"Streptococcus mitis"
"Rothia mucilaginosa",45266,5705,0,317,2145,0,636,0,2637,0,0,649,0,0,0,0,3106,4815,0,0,0,0,22315,46884,0,0,8054,0,2802,46311,46170,214,10137,6730,2321,18101,14104,0,13883,3613,415,0,4306,4989,359,0,0,142,21283,1546,23911,0,21236,69808,3096,0,0,13987,0,0,0,0,651,25794,0,12524,0,0,0,8660,0,0,0,2645,0,1727,0,0,0,0,242,0,2832,0,0,5489,0,9825,0,471,0,1416,125048,0,458,0,2518,19058,743,0,0,16862,913,1889,6013,0,1616,0,15837,0,0,0,0,0,1483,0,0,14984,0,0,0,0,2570,3701,0,4681,1178,0,2133,2509,2654,83,0,19621,0,0,0,5022,0,2782,0,1107,5769,0,3444,0,0,0,0,376,0,318,0,0,"Rothia mucilaginosa"
"Oscillibacter sp. 57_20",31111,11238,17769,14582,8976,0,0,0,913,97085,326712,25843,222706,911,0,0,0,153944,101135,105528,38423,599014,501742,125336,0,0,0,22860,0,0,103703,0,0,0,55438,0,28489,83037,210500,167784,1967,31664,0,0,7142,10752,3597,159,0,159,0,68960,57493,0,0,0,0,45990,34859,0,0,208754,19781,0,0,29995,102498,672439,343744,0,0,237955,0,0,254535,19168,105197,0,0,2261,520315,0,6849,0,0,30077,21313,0,5983,34869,0,0,0,310571,77142,0,3523,106683,0,0,0,101,0,616478,6478,0,6494,22544,0,0,0,50187,0,49803,0,474,1878,934178,0,183046,749798,0,0,1402962,0,21231,2152047,261161,1378521,0,284667,15861,74112,0,0,401,51023,0,0,0,0,0,398389,0,325293,0,84778,0,337033,0,8118,0,4893,59736,"Oscillibacter sp. 57_20"
"Roseburia hominis",28306,37629,539692,147631,1538,217463,161632,0,2808,67637,0,354451,29604,6940,41336,96326,5255,16196,20573,10089,75734,5615,2229022,493568,10185,0,0,44515,15075,198541,405547,0,2118,27373,857630,262615,1646,0,103834,212305,58685,128028,5602,0,2301,0,392720,8796,0,29198,0,45648,6421,0,0,0,0,392176,33067,1675,11081,56933,66571,0,0,85731,16223,105015,1223354,344518,11755,109902,5884,128458,38195,28307,13341,4001,0,7278,300206,0,181643,703459,4171,27255,21859,71,72242,142727,48438,4930,0,104668,25214,11273,216844,42602,2692,44820,0,266504,344650,2132967,164153,11202,25598,237449,0,0,81487,447659,145954,26025,0,27266,39161,308840,1441783,121738,31279,169284,0,1111193,0,51364,0,307923,747759,54031,304920,7742,46147,0,9018,0,76641,341321,0,1326675,17096,0,1164697,141244,662533,1435807,73268,0,4651,876702,21122,686,325669,58029,"Roseburia hominis"
"Haemophilus parainfluenzae",27880,0,760,3481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152667,0,0,0,0,0,383,6685,424,0,0,0,0,22991,0,0,0,0,0,0,0,487,0,721,0,755,0,0,0,0,34925,189239,0,0,0,0,0,0,0,0,0,14717,0,0,0,0,0,0,0,0,0,1428,0,32517,0,0,0,0,0,0,2074,12741,0,904,0,353,0,0,0,0,0,0,546,0,0,0,0,0,0,0,0,0,0,0,0,0,1417,0,0,0,0,0,0,0,0,790,0,0,0,0,0,28063,0,0,0,0,0,9161,24602,6655,0,569633,0,0,0,0,0,0,0,0,350110,0,11223,0,0,0,11982,0,1912,0,0,0,"Haemophilus parainfluenzae"
"Roseburia sp. CAG:471",26748,526775,0,0,490427,0,7167,724762,0,6690,13389,1879,52138,4564937,0,11589,10273,12091,4890,66241,4917,11608,12806,1334,0,0,1271,2438,1264,0,14758,0,12639,14351,8016,13764,251332,0,370,4419,4082,27674,1781578,0,9162,391106,14908,413255,0,2018,6434,3256,6401,4671,0,1196,0,0,4568,2886,0,2342,203,11601,1574181,0,0,1540,4604,0,475,4195,2125,2005,1091,73,0,0,4696,582,14620,0,177551,0,911529,86696,572,0,5217,1375584,4548,0,2678,0,4214,5364,0,0,0,0,0,289495,2164,1947,30336,4884,0,3630,0,0,9231,0,0,4081,1232,18420,0,5538,0,1265,677,2328,0,617,0,0,17084,40755,0,0,781,0,2027,0,13839,0,0,245,0,0,0,0,0,0,67,0,0,0,5720,0,28360,0,443,0,"Roseburia sp. CAG:471"
"Schaalia odontolytica",26367,0,1544,0,16498,5292,11132,1675,827,0,4783,0,0,4424,0,5627,9472,17165,0,0,352,604,251,1777,2700,53239,8365,7243,5706,64759,65873,5698,35628,0,850,2336,21058,9143,2087,0,10297,6680,15870,2786,11822,2206,7260,6509,9348,11410,7997,348,13575,7715,1106,6657,20094,13732,15846,240,2138,83,1126,12155,1442,2220,1796,0,0,4181,0,11490,2651,8474,4987,2711,0,0,1222,2352,2302,7710,1844,9395,6801,5348,679,10357,3816,6270,2142,19742,42622,0,1738,0,2055,2977,836,0,10627,10420,10098,6414,1192,5093,7487,0,22527,3079,0,0,413,2437,38113,0,8254,5538,0,937,0,2366,17144,3644,0,1967,0,331,0,899,2916,2611,3271,7635,7655,3094,0,0,0,0,444,26893,9358,0,0,0,0,0,0,0,0,3987,0,0,"Schaalia odontolytica"
"Alistipes finegoldii",25169,45046,644365,0,0,0,0,0,5026,0,0,4330,6830,277,0,734,0,1327,8134,18265,26901,7123233,46470,557500,0,0,86787,1420918,40790,8640,81461,51463,0,180,23689,19073,5281,48842,17221,66682,1001,292420,13345,0,3668,186226,6145,16400,0,0,0,33602,76750,0,0,0,1670,46130,419888,0,3091,1033568,236653,15605,0,2980,72593,564067,327231,610493,152267,3842468,19749,1305951,461397,66408,597248,7798,0,0,753298,0,20721,122483,0,781402,143690,322,1694,503340,3022,0,0,205166,1217147,51014,0,1942185,19793,910943,0,598,16276,0,113054,25166,13981,0,0,12041,73103,1225034,1485140,1142,0,0,1119587,7840,2703680,285603,455685,4494370,2585877,84201,877955,0,365143,267086,1122517,66996,31929,20275,257541,3230,1824,706814,313026,7896,0,8663,139785,0,8653,1067733,109018,2334,7272,0,89113,787061,28821,0,0,176005,"Alistipes finegoldii"
