"","S112","S118","S121","S126","S127","S131","S137","S141","S143","S144","S146","S153","S155","S158","S186","S187","S193","S194","S195","S198","S200","S205","S224","S225","S227","S229","S231","S235","S239","S243","S244","S248","S249","S258","S263","S264","S268","S269","S278","S286","S288","S290","S297","S299","S304","S305","S312","S317","S327","S330","S332","S334","S342","S344","S347","S349","S350","S353","S354","S356","S365","S367","S370","S372","S378","S380","S381","S384","S389","S393","S395","S397","S398","S420","S421","S422","S424","S432","S434","S436","S439","S441","S446","S451","S456","S457","S458","S462","S463","S468","S470","S472","S475","S476","S478","S479","S483","S484","S485","S487","S488","S495","S497","S51","S517","S524","S526","S529","S53","S530","S536","S54","S543","S547","S550","S551","S552","S558","S561","S563","S577","S58","S584","S587","S589","S59","S591","S598","S60","S600","S602","S604","S614","S617","S618","S628","S638","S640","S643","S646","S655","S77","S80","S88","S92","FeatureID"
"Gemmiger formicilis",112225,62839,111333,64395,47349,163935,10745,99306,124087,85559,29286,70649,161429,250989,115682,115439,161549,66436,220517,185336,57381,6419,29437,216201,71981,46221,47081,458863,179290,960,0,380263,29880,342722,25306,19641,174158,151604,82646,26553,80579,425206,17093,172213,71674,963,106156,983,175078,0,72304,333047,23346,134774,0,281856,12192,90717,157326,0,53245,91440,162994,349390,61010,141282,77869,168168,84920,30901,0,61425,55147,9939,247017,132950,124649,149828,240964,78234,0,85835,49789,637661,2657254,239228,64439,184227,282335,21337,21590,343474,39080,288796,179434,174349,143099,292884,59390,778404,70476,102826,43808,71485,65337,908920,0,308389,219671,97468,133285,46092,118432,581695,0,887352,22983,182169,0,34303,0,226077,254950,144519,408387,9998,363692,34337,79486,81513,7946,0,99842,46400,0,5992,2877,95274,29415,0,22761,121883,37879,146518,9658,"Gemmiger formicilis"
"Lachnospira eligens",109607,639451,395958,133830,400759,0,31502,1859534,490222,2221451,13912,218768,1154546,249114,105450,844686,275083,1696,6776,676510,98883,5497,827129,212116,269668,130694,35358,224091,259706,48883,0,1068078,90694,87177,1976,199743,141308,65664,625699,26492,54713,0,302115,1161898,12105,758408,2146,8502605,454951,705335,4966,524,270196,91767,92019,282954,77533,758463,0,0,185561,276477,527812,50221,608062,25354,266883,0,715892,5188,348948,25141,590511,0,1108810,1738458,186748,1123951,1725923,317136,0,0,806000,10486,242061,1191711,176585,290232,94082,55182,18298,100058,626505,3858736,309556,303251,347922,1693487,80979,275822,1978233,142631,1012780,313,1654605,525127,1195352,0,665357,52140,14233,487552,930941,366675,5075,184335,126734,0,0,0,1416764,19883,10662,67198,39262,512009,2345170,206325,240257,14449,122329,0,10793,308717,264122,325197,159627,7150,688959,125774,66820,2918870,335168,41407,7743,"Lachnospira eligens"
"Alistipes inops",107644,0,78334,265153,0,304162,84464,43448,24685,0,0,76964,60618,484671,0,43320,0,137765,0,0,6817,0,10900,117235,0,0,248871,0,6158,35183,0,0,0,0,0,0,142973,0,366143,0,0,0,0,0,0,28253,18825,0,39272,0,0,0,58705,0,0,33037,0,0,79106,0,75213,0,110536,0,0,15369,0,41859,0,57115,125822,0,0,0,0,22270,0,0,180828,253608,0,0,0,44782,94373,0,70193,0,54689,0,0,83445,0,1858569,0,0,0,0,14214,13493,90080,123223,9506,0,120170,0,33760,0,167131,37929,0,9707,0,361709,0,0,317121,30440,55780,0,110724,167410,1953,0,0,0,0,0,0,0,65997,0,142444,109880,50768,77861,0,0,530659,0,0,0,185424,43460,2337,"Alistipes inops"
"Gordonibacter pamelaeae",99014,28548,22050,968,906,9651,947,50658,32233,555734,3962,6458,32570,15633,69919,15902,2918,9113,120809,1607,4927,21536,532,3924,0,41141,7875,10654,0,3044,15217,870,617,43705,60896,435,1954,110873,0,0,57304,9260,0,6986,0,5914,666536,1956470,1425,19480,54796,13529,0,40549,253456,5544,8982,1220,117416,23359,14039,3545,19479,217993,0,354,9314,69,51931,0,0,0,60172,3821,1827,10508,34132,53426,155184,2490,165222,4307,0,29639,27004,2110,10460,1024,10585,0,11731,116117,0,117260,52031,1271,4766,857,11638,15003,15155,105635,4755,1715,493,299082,40302,7418,15950,5324,41539,1169,9329,39760,17504,241684,2435,54289,139276,4809,9029,26252,39658,2994,14927,5806,4748,1625,11844,97613,6462,28424,690,0,4057,0,0,502827,980,47114,0,19108,3517,2290,0,"Gordonibacter pamelaeae"
"Ruthenibacterium lactatiformans",86482,8635,4840,58309,29291,96661,2972,1148,112340,242615,10728,48937,24200,40360,45119,24065,245558,28620,161652,20046,796522,13095,16049,9522,256,59920,31541,6520,113,3678,42662,132920,16230,108835,89971,2179,21435,69772,2327,3761,92007,177204,0,43153,10149,9686,2203631,1176064,11645,66657,435447,55660,0,47482,676124,25131,214580,18730,163585,298711,148023,14480,56461,15452,8704,25525,9341,40910,40410,2898,19436,25867,68275,140035,28575,73908,334057,63871,55775,60420,477089,67817,52001,101850,112264,11527,30665,22895,67308,986,0,107046,5592,21311,29615,21724,52962,24199,11303,199855,2152162,410006,12187,27813,3413,75217,1131822,80896,11082,32990,50298,18904,14960,77769,5246,70198,13933,28542,432647,24476,40859,386582,46462,10212,15115,19906,16597,113606,10098,42367,24177,99317,25495,1384,4791,4898,5977,546389,3570,51592,14067,6746,31038,52464,38925,"Ruthenibacterium lactatiformans"
"Phocaeicola dorei",83937,723574,1468609,187341,508924,24530,320046,1887717,1313,0,86930,52209,0,4224982,16030,0,2534543,842265,0,394793,120317,0,1552513,800768,102119,0,139723,0,0,31839,0,0,181612,0,144840,259983,29154,171031,308325,13012,382124,0,19786,648401,213664,0,247032,0,1466897,1443959,31799,10492,110194,1614010,129240,155,504592,0,10552,0,331457,0,2423295,1664348,31524,0,225659,0,0,26414,290740,0,1147210,2914906,177429,1145195,0,2180725,404117,2471098,1625555,61385,0,0,0,101918,1676821,1760,42674,18669,68081,0,75290,0,0,4561,0,574767,26238,305875,0,0,45242,164957,69205,208762,0,519669,0,31737,79643,0,20090,1685,564600,0,0,407229,582369,0,0,0,287022,0,0,242021,0,0,103150,73101,703235,0,112033,389584,65702,0,250484,955599,235851,0,215421,2064696,297544,296625,0,"Phocaeicola dorei"
"Blautia wexlerae",77053,270897,155002,9443,40866,1647,2467,5245,17358,64938,61971,130203,126200,97883,338792,425643,6659,20265,1163948,64717,107064,26502,45271,120640,112589,90343,18243,48950,5483,514,81522,56344,37711,1219279,310900,5506,177696,502518,30951,22617,142487,134071,24605,114689,63048,350843,174396,16113,323376,243106,738370,159440,13483,520604,9474,20325,8911,9486,7064665,469374,4993,124492,264742,136329,56507,24111,14432,1319,245778,22306,10645,3194,654662,45288,3286,257930,221001,115316,1571904,950989,1097890,154990,95792,113458,310208,199974,164690,23310,2171,13289,18537,89172,81830,65003,184477,303695,276884,103127,14367,76883,116075,275605,42880,223142,14425,1355366,351114,453957,37850,75295,203655,148987,31508,64016,381962,393284,40435,362074,678116,53013,343739,85220,144114,178593,46925,4887,114392,48730,69755,177493,468575,3627775,105301,9486,38286,18848,15290,4395,1898,58054,11469,173391,21296,92001,443101,"Blautia wexlerae"
"Agathobaculum butyriciproducens",70662,207492,190266,1883,14232,129576,11547,120132,150568,0,103560,565974,282722,35480,368073,330145,90315,217476,121882,258800,52301,177272,2779,117406,39603,104396,1947,60674,76150,93085,275851,20112,61052,64821,0,124806,77305,143007,351171,60605,0,287526,76563,169058,105780,144855,48498,318871,87728,0,73737,0,31145,168617,0,72964,0,91036,37555,93434,0,174279,42419,956288,43954,96469,40848,72092,160779,7698,115198,63619,0,24677,261849,90198,380340,272565,841431,122293,65905,184756,27376,217726,1152948,353880,344110,131430,134972,213811,62751,507123,72603,1028215,115503,98268,289543,370145,43233,151697,53311,432249,194679,137750,37257,317736,151435,54407,82152,80811,178317,167713,191248,347101,0,121438,31712,422490,177361,204346,117552,12320,455924,103785,320743,158511,283063,26284,71791,222913,208617,171858,134003,76301,32942,57286,3011,64470,15828,98782,44725,112640,62522,32052,22454,"Agathobaculum butyriciproducens"
"Sellimonas intestinalis",70109,0,0,0,0,0,0,0,0,0,0,0,11045,0,0,0,0,0,103362,5916,0,31804,0,0,0,0,0,20359,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3965,0,0,0,302320,611,0,0,0,0,0,0,0,9713,0,0,0,18268,62699,0,0,0,0,0,0,0,0,0,0,197,0,813,175,3830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12775,6802,0,0,46306,0,0,0,0,0,0,0,0,10485,0,12045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sellimonas intestinalis"
"Lachnospira pectinoschiza",65595,515064,0,0,19739,247457,2527,0,150595,3394,0,162124,960401,651720,32209,0,107619,0,0,134906,0,332893,111570,77904,248179,0,0,0,17413,83861,23795,0,44355,0,0,0,171460,0,0,1242,165874,32850,0,205017,24151,257271,0,0,833064,0,0,10976,3054,0,0,63107,0,552668,0,0,4906,0,0,25929,0,20894,0,20931,49397,3336,310547,32148,291813,0,124173,0,0,64811,0,20178,0,135448,37274,0,9032,201078,70819,0,82248,0,150001,59634,0,210238,197317,5750,254965,0,64305,45755,233222,362858,243697,73573,183921,0,32202,0,426938,7354,16672,45778,0,0,0,142616,52728,245388,0,0,305926,18678,103622,0,60028,10765,907130,171954,645470,0,0,0,6600,47545,238046,0,81756,0,174792,394,91157,0,77774,45794,15709,"Lachnospira pectinoschiza"
"Streptococcus thermophilus",58898,0,21817,130231,23432,19991,0,342976,12633,113757,0,72412,145539,0,0,3230,220010,38754,86719,6203,7217,0,143595,8950,13009,0,0,144330,0,0,52311,34977,41503,0,0,1940,0,21182,226350,4772,0,7049,10553,378710,21465,0,10539706,2083299,17875,5295,0,6191,9863,0,31982,1363389,81192,0,138797,0,569899,881874,0,0,0,226084,4093188,711380,302885,0,0,260986,564964,5060,984118,915686,0,5390,0,6254,0,1574,92358,0,1094883,615117,37033,10635,0,0,4718,2015590,204536,0,0,0,391724,12944,44757,0,43680,0,615170,0,1037377,16601,0,15782,115346,68343,2945,42176,0,0,0,1283558,91016,613194,0,69841,5492,154043,382949,387259,0,118510,2797,0,424839,3277,910,226367,22634,0,37347,497492,0,0,56456,0,9139,3699,136058,572107,9739,"Streptococcus thermophilus"
"Oscillibacter sp. 57_20",55725,392645,73840,57131,64976,0,4681,9292,0,17281,1843,95735,126944,343349,16641,769142,758927,407415,373,68747,581319,0,115658,51848,156753,6680,101909,0,66750,59794,0,4657,269,0,4628,26642,4296,0,242659,48466,0,0,23883,118292,42827,87373,40136,3807,64649,15978,0,0,19751,0,0,5660,2615,28690,0,0,0,0,90111,23382,100196,14605,44725,35836,0,11546,0,38322,0,13541,0,127358,187108,28234,56731,377364,0,4756,192056,0,0,0,87694,275964,76235,56645,7390,0,14335,505847,69037,54437,0,464987,21688,59816,107370,82598,1390231,1189,133995,0,115813,0,147685,6517,2881,35498,301080,248886,0,4746,0,89493,0,232314,198274,0,63783,724569,49148,31337,1187646,604973,47807,35920,114,0,0,15499,0,42716,326373,0,246640,0,0,338790,19519,44225,3166,"Oscillibacter sp. 57_20"
"Roseburia intestinalis",47143,166462,109328,3894,19600,0,8095,0,15149,214358,935684,508765,9004,245879,576909,308573,95826,710213,328081,3493,77225,449685,138013,123645,36430,79259,8605,0,33915,209992,1248589,66114,4451,57629,371,29820,3153052,393172,0,35582,31758,57418,78818,175592,7352,727457,1524,6174,0,48952,0,0,181188,14552,0,0,5729,560142,102147,629969,48786,1213718,6310,35514,107983,6110,86857,3174,16498,94739,972125,12881,0,283058,2306914,0,127342,262546,78472,49008,715338,60750,78329,0,727394,4035978,290428,6109,5395,18914,24349,2149169,13569,898973,1119944,180156,6283072,1025939,87761,6255,47295,116336,54951,596510,4436,481785,0,148508,17672,0,44794,486171,89258,464507,44204,453833,0,789,0,0,102627,9823,42262,29508,795468,837477,92846,198990,106878,65972,1983559,0,90247,35697,63521,199596,0,40774,0,245797,174469,2943,8757,35213,237828,"Roseburia intestinalis"
"Dialister invisus",43889,115019,203317,232171,0,0,0,18743,1588039,38196,0,0,167828,35653,336090,131825,872278,0,52653,647370,675074,30529,27476,0,0,1807,0,101975,1068144,25693,22453,1368,320,132524,0,364283,29177,71825,0,142241,0,56620,21636,0,15866,21181,0,0,0,33720,0,6485,3451,15067,0,83947,0,256400,150445,360042,196233,0,0,0,5459,0,0,32211,311184,25067,6330,49555,75600,0,0,397602,0,79819,0,427,193871,0,0,252600,0,0,43466,0,0,0,9463,1793555,0,96139,45701,0,225540,630917,2462,0,0,0,0,0,425579,49220,812,0,0,0,938535,0,0,0,0,1967603,0,153409,0,72640,257366,0,148677,0,688656,0,0,38749,0,30854,79613,0,18625,16801,13616,9380,6609,0,0,3170,0,0,0,0,0,"Dialister invisus"
"Firmicutes bacterium CAG:145",32272,5534,13289,27450,0,26433,0,1657,4638,60872,2221,23358,5517,0,0,2801,0,0,105519,0,0,17130,0,2881,0,100836,253,0,0,2618,18926,3197,18726,3409,19316,3127,0,104996,0,0,549837,49138,0,6082,0,4962,88219,646255,3861,0,429462,23502,0,0,626640,3218,83311,5430,0,28148,0,0,26906,0,0,26363,0,4422,9454,0,10743,121066,32989,0,150647,35205,325954,0,80606,0,92810,12864,0,34129,92532,0,0,0,5883,0,0,28924,0,0,0,0,5570,0,0,0,0,94499,14178,2857,0,90345,300972,0,34782,1904,0,26835,3866,0,0,262169,0,14113,105654,1060,0,0,35993,0,0,4159,869,0,3042,0,25979,0,1197,0,0,0,0,93732,0,972,4015,980,0,0,13112,"Firmicutes bacterium CAG:145"
"Streptococcus salivarius",32193,2119,43946,19978,59290,9225,0,18545,91505,86357,23843,0,101494,5731,43257,261187,0,10007,66512,85438,0,13876,50015,63594,1990,5398,0,507498,0,1481,72371,942828,18569,5850,7373,1231,75615,207632,19404,29739,0,6534,18631,29127,31871,60969,10418929,170060,83878,1773,46049,50985,2278,61047,62848,755780,0,32788,136660,5188,50892,32704,816311,22054,5349,102270,52686,1404746,426927,302217,19443,11091,14718,23298,286504,7269368,13617,54844,80361,0,72287,436189,4492,87264,15617,947880,716895,0,16065,69182,4631,92838,8365,30552,7880,33307,223971,3390536,0,0,108015,62826,113949,1323232,170399,71761,281682,35347,7114,225741,30701,15701,10146,42202,95263,124365,1279,4468,17699,53754,7021,111039,31715,12412,135369,39227,40745,0,20742,329783,19631,4744612,69577,5920,1131,5329,5400,0,3158,43173,10598,32929,40458,9044,52126,"Streptococcus salivarius"
"Clostridium disporicum",31513,0,0,49137,19072,0,334,0,1307,0,101909,0,149049,0,0,64598,75780,14966,0,178495,0,0,32304,0,2158,0,0,0,94622,0,15453,7992,0,0,0,15072,112952,8398,0,0,0,0,0,0,15020,0,88885,0,0,0,28028,0,0,0,0,0,0,133742,0,0,254431,0,0,0,163954,0,9297,1629,0,5028,0,31741,0,3186,0,0,0,0,2338,0,0,1264,0,0,0,0,0,60680,0,6066,0,0,0,0,173388,569,0,0,0,0,0,0,79735,0,3831,0,137441,0,0,39863,0,33963,0,0,0,170378,0,0,0,0,0,695,0,0,0,15657,0,58098,0,37433,0,0,0,0,0,0,14580,0,14743,0,0,0,3026,37747,0,"Clostridium disporicum"
"Clostridium sp. CAG:58",31512,3304,0,0,0,162115,459,42047,20295,412840,50985,78987,33491,64438,31215,21409,0,24612,72067,0,17806,0,0,30242,0,32670,11231,0,0,9484,0,0,776,0,0,0,18431,77728,0,0,139189,0,0,69127,0,38575,0,596933,94607,148932,131013,0,1928,50754,0,0,0,0,98741,0,0,58321,26961,426269,0,2893,17355,30176,85945,5330,26314,0,0,88473,155502,132120,71419,43106,0,0,157303,29030,0,0,280428,0,0,75254,48964,0,0,0,0,0,0,23238,88161,70533,9105,0,0,0,37400,0,0,0,147699,0,0,35215,0,29509,110380,0,4916,0,0,14933,43738,0,0,20531,36886,1019,196725,0,129349,0,4030,28385,104093,62107,21467,1926,0,0,2900,285897,0,0,0,0,0,0,112522,"Clostridium sp. CAG:58"
"Paraprevotella xylaniphila",30966,0,0,28869,109668,50681,62755,0,0,0,45641,0,0,0,15734,148481,313159,0,0,0,0,0,135372,71107,0,0,0,0,35187,0,0,0,0,0,0,0,0,0,139688,0,41453,0,0,19706,0,0,0,0,0,0,720,0,0,106767,0,11838,0,34352,0,226675,0,32209,0,0,105241,11943,0,0,0,0,163962,0,0,0,0,71947,71633,0,0,635773,0,26664,0,0,0,0,0,287827,0,25829,66845,0,3586,0,551630,1377,444671,1018218,0,11887,0,63037,174297,0,84222,0,0,0,0,3559,25873,94023,45351,0,0,0,0,0,4155,0,0,0,0,213027,0,0,0,120242,0,0,0,0,0,0,0,0,0,0,0,0,13477,31894,0,11305,1940,"Paraprevotella xylaniphila"
"Alistipes finegoldii",28042,2736440,221,86307,19167,85208,12068,58323,156537,0,788,248055,87372,960620,4330,9948,84499,477771,3054448,90651,43899,85199,87306,15221,9572,60027,164030,0,4412,117046,298484,0,65836,20954,113664,63479,13596,368155,9483,7144,221647,907299,15311,89412,446059,11799,216589,12964153,114574,10412,4518,24529,39060,13476,19448,60242,69697,541,63005,0,41226,0,684327,470,4073,3767,231677,14110,104786,0,3720,865285,0,0,0,73066,39323,156578,41329,24543,0,8386,0,267,710351,58911,23505,30629,80708,0,4110,0,24434,5174,176990,7737,0,78394,14459,33077,106088,815,15990,153181,0,101116,247188,0,39993,16730,52180,25764,456445,15611,830,189803,9176,53863,10775,9360,7488,55337,76872,28158,6709,10977,646129,60440,20133,0,7996,0,19447,269,15896,30056,15572,0,51490,0,99910,186505,12224,12926,4184,"Alistipes finegoldii"
"Adlercreutzia equolifaciens",34282,50933,12877,7448,24945,155588,1851,43935,62895,1061413,167805,229198,142075,153471,422090,89598,42112,64995,729955,105386,23655,63818,13867,25189,0,276155,221020,126640,0,23426,21321,9313,15543,38053,271482,49904,93857,504202,5720,15533,208106,70870,3844,86141,43744,34586,1760108,33610,108942,73419,179790,69009,18499,0,310381,53543,30858,26204,136097,0,41170,0,0,47711,0,33409,53449,16869,146004,128,8483,24701,0,71732,8745,156855,333933,290798,563560,1967,1968,39644,97219,51184,663915,232131,82898,52179,29551,448,9138,1133,253,332359,478963,14355,51805,15967,12194,76965,113050,205778,5113,0,74303,339062,444762,234240,75834,78693,863,18259,15710,126605,0,4397,15689,311634,2217,141036,160441,205580,343303,47067,45356,51390,48477,23747,6465,2069,54565,0,18542,35917,49860,0,20676,2139,18323,56259,11337,80423,19397,30704,9237,"Adlercreutzia equolifaciens"
"Eubacterium sp. CAG:38",24171,18354,192115,0,169921,1379,0,471618,8921,0,25243,11442,77678,0,0,623226,30123,36090,0,46606,4150,0,16581,70315,50354,24132,0,0,0,50465,0,0,93526,0,1237,21004,10086,57844,37367,0,3786,0,15851,43332,0,0,0,0,17672,0,0,0,16270,22912,0,0,305,38424,4554,359294,0,163239,0,0,17137,0,193395,14336,12319,0,138256,2165,20397,0,7416,7098,491,83327,12880,0,0,0,17249,0,48121,0,5480,64569,4615,4951,31805,0,78144,15143,10400,9877,0,0,4983,0,17384,0,49523,0,9157,15865,214756,0,32881,0,8759,32867,265,160167,0,73158,132163,0,0,0,103167,0,53389,15496,58873,49514,36415,70354,159933,23171,146609,0,7777,8516,20949,14955,5490,0,8341,10637,797,71404,6824,9173,0,"Eubacterium sp. CAG:38"
"Parabacteroides distasonis",23772,278189,103464,97955,109072,177753,88739,0,205525,3142135,77600,124072,362019,402497,117464,141687,1312063,583974,0,272825,167935,0,133735,51582,124984,267628,68109,68434,7591,145349,0,16856,16837,0,66585,28825,26952,9289,215189,136501,145468,297303,11994,172647,43002,190167,68714,588032,107598,396236,28076,9175,56074,419073,152980,65822,142590,50856,1601,1157349,187991,653164,220544,0,194725,0,80613,121638,0,2839,101584,0,167120,42922,21292,51582,315622,415406,193468,253369,611660,28710,0,859947,807535,158692,166697,267937,93759,0,60841,0,12422,406599,98326,2993,191235,323098,8145,205904,658002,335232,298469,125529,107274,0,290619,207967,114329,14486,201632,322323,272100,90931,167772,0,432195,218824,52314,201565,146727,134332,181624,366725,797,43398,289883,27881,288228,37252,87223,298201,23492,118956,60039,260842,90812,0,140419,812307,26990,168898,76526,13742,17089,"Parabacteroides distasonis"
"Bacteroides thetaiotaomicron",23159,144221,19720,13918,56903,0,6721,220951,140854,0,125006,173200,129944,598002,88948,3727,195786,157237,335218,51019,10136,2447780,0,99098,85893,20121,7423,18412,38059,19852,0,9803,85514,32675,0,0,95977,48918,1216,25967,44096,1590,69312,61734,27180,127433,166863,662811,0,6529,9046,0,57552,296472,16982,1948,1602,41260,0,366805,404412,103439,592886,782583,23567,0,115975,20569,0,0,165725,22619,0,99373,35305,87611,31777,277578,94466,156820,3235177,35129,0,0,29740,168991,30129,2495,13520,0,43213,0,0,143002,61073,9011,1944606,1119434,24948,6090,810137,53802,0,108068,10830,0,360248,119212,182858,0,0,50112,113804,16877,10393,264384,20136,79655,116729,457724,18640,21326,122299,0,8595,0,83757,87795,3182,0,259283,0,59686,29069,0,108728,418,0,47956,0,29444,96075,47196,66531,4592,"Bacteroides thetaiotaomicron"
