"","SZAXPI003409-8","SZAXPI003410-3","SZAXPI003411-6","SZAXPI003412-1","SZAXPI003413-4","SZAXPI003414-3","SZAXPI003415-12","SZAXPI003416-4","SZAXPI003417-4","SZAXPI003418-8","SZAXPI003419-6","SZAXPI003420-4","SZAXPI003421-5","SZAXPI003422-11","SZAXPI003423-8","SZAXPI003424-12","SZAXPI003425-1","SZAXPI003426-11","SZAXPI003427-1","SZAXPI003428-6","SZAXPI003429-3","SZAXPI003430-5","SZAXPI003431-1","SZAXPI003432-12","SZAXPI003433-7","SZAXPI003434-7","SZAXPI003435-11","SZAXPI003436-7","SZAXPI003437-3","SZAXPI015209-133","SZAXPI015210-17","SZAXPI015211-166","SZAXPI015212-113","SZAXPI015213-15","SZAXPI015214-19","SZAXPI015215-20","SZAXPI015216-169","SZAXPI015217-140","SZAXPI015218-16","SZAXPI015219-129","SZAXPI015220-136","SZAXPI015221-142","SZAXPI015222-123","SZAXPI015223-158","SZAXPI015224-13","SZAXPI015225-18","SZAXPI015226-14","SZAXPI015227-13","SZAXPI015228-14","SZAXPI015229-15","SZAXPI015230-16","SZAXPI015231-17","SZAXPI015232-18","SZAXPI015233-19","SZAXPI015234-20","SZAXPI015235-21","SZAXPI015237-23","SZAXPI015238-24","SZAXPI015239-25","SZAXPI015240-26","SZAXPI015241-27","SZAXPI015242-30","SZAXPI015243-31","SZAXPI015244-32","SZAXPI015245-33","SZAXPI015246-34","SZAXPI015247-35","SZAXPI015248-36","SZAXPI015249-37","SZAXPI015250-39","SZAXPI015251-41","SZAXPI015252-43","SZAXPI015253-44","SZAXPI015254-45","SZAXPI015255-46","SZAXPI015256-47","SZAXPI015257-56","SZAXPI015258-57","SZAXPI015259-62","SZAXPI015260-74","SZAXPI015261-75","SZAXPI015262-79","SZAXPI015263-84","SZAXPI015264-87","SZAXPI015265-88","SZAXPI015266-89","SZAXPI015267-102","SZAXPI015268-109","SZAXPI015269-94","SZAXPI015270-90","SZAXPI015271-93","SZAXPI015272-108","SZAXPI015273-95","SZAXPI015274-111","SZAXPI017451-16","SZAXPI017452-17","SZAXPI017453-19","SZAXPI017454-20","SZAXPI017455-21","SZAXPI017456-23","SZAXPI017457-24","SZAXPI017458-25","SZAXPI017459-26","SZAXPI017460-27","SZAXPI017461-32","SZAXPI017462-33","SZAXPI017463-36","SZAXPI017464-37","SZAXPI017465-43","SZAXPI017466-84","SZAXPI017467-87","SZAXPI017468-88","SZAXPI017580-90","SZAXPI017581-93","SZAXPI017582-94","SZAXPI017583-102","SZAXPI017584-108","SZAXPI017585-109","SZAXPI017586-111","SZAXPI017587-113","SZAXPI017588-123","SZAXPI017589-133","SZAXPI017590-136","SZAXPI017591-140","SZAXPI017592-142","SZAXPI017593-158","SZAXPI017594-166","SZAXPI017595-169","FeatureID"
"Fusicatenibacter saccharivorans",396158,90466,457948,559591,256148,121992,113722,0,91035,128987,366166,113627,166708,601418,0,0,299442,46784,0,0,678091,162481,27697,75945,0,0,207665,31337,0,101804,364231,168854,2304970,2282473,81967,345767,366266,189413,1217670,0,10983,325995,63127,142215,2416571,50297,115605,1238041,808483,120178,1996264,0,663121,416608,548736,330362,0,840682,0,1031411,344672,290091,434503,310389,136688,420787,434407,306788,344787,386170,281797,486458,1055018,0,244200,99699,3507476,112024,1467706,355160,391817,2265748,175035,470519,868408,307097,64799,208985,416731,87757,142593,228294,1541796,0,0,424704,19717,26733,399394,240730,119638,347788,743697,12851,41579,17340,435096,107165,41926,236503,54714,14515,121207,19950,0,95309,2066,0,419615,0,356692,218121,860690,3180505,107515,99517,995113,0,"Fusicatenibacter saccharivorans"
"Blautia wexlerae",378194,44821,70842,13427,29079,179206,197888,0,95725,39404,31049,15843,47399,52781,344021,1282,371820,17491,175040,151552,26989,33389,20993,65628,199569,77601,73279,80710,289531,7588,119687,60955,1684018,94613,280428,37985,60043,13301,251159,116143,6878,93748,68336,743247,642596,80751,23092,190569,1254953,28929,65343,20318,730670,317407,909564,112595,260982,245690,69181,108532,17174,23190,121922,95346,12250,43879,14291,37232,9785,178063,63387,36714,306080,299289,18094,170608,290413,33015,203215,265598,40546,198006,12044,132575,27062,20136,29919,1482,19489,22116,10117,30821,560370,302625,1254822,979375,156036,65650,293679,17772,16936,273908,3803004,2515,62300,9786,47884,32435,2388,289416,19634,7899,140918,140780,420663,48711,7942,14589,105209,30903,44983,77327,462576,22779,1053707,61295,439919,62434,"Blautia wexlerae"
"Slackia isoflavoniconvertens",364034,0,900112,719,0,0,0,0,0,0,0,10200,703,338,0,1604,0,0,0,0,0,0,0,0,0,0,248,0,764,0,251,320,0,0,0,3837,0,0,0,0,33281,0,0,0,252,0,0,2055,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,124150,0,0,0,0,247,204,0,216,0,0,0,0,0,0,0,60781,0,0,0,0,0,0,0,0,92915,310,0,0,1766,0,0,0,402,3289,389,0,0,234,0,0,0,0,0,0,0,335,0,3165,0,3405,0,0,0,0,0,0,0,0,270398,0,2752,470,0,437,"Slackia isoflavoniconvertens"
"Blautia obeum",343276,66925,381789,1639578,357014,112379,130354,0,0,181269,68373,34934,127803,39492,0,2788144,169981,6278,146088,0,26230,306777,13769,52158,226923,0,416364,24004,2085607,4034,384692,104932,135172,59608,0,134486,480324,62527,1191542,64214,42311,36108,58271,182453,166333,101722,36220,1434760,0,13168,273211,38515,0,0,161204,170059,179452,51688,15480,624948,147397,60575,76870,92715,42145,345560,1093394,87806,42618,852695,50490,53050,1035042,4260,91890,0,48715,60003,86698,170463,60034,280303,60191,131356,46782,158847,7693,86203,113229,12042,69067,61939,618577,949657,0,428520,139461,470675,0,36901,6955,72209,35334,101947,39015,8710,2905,50099,578,214352,60674,8963,507249,435487,148080,87704,71514,0,56674,0,317771,52515,465369,352298,5236768,76564,959345,39188,"Blautia obeum"
"Gemmiger formicilis",305332,389994,138589,121382,53416,0,0,0,0,270355,4819,94443,51256,322213,0,0,0,1847,1488,0,21776,83332,17830,269182,0,0,240182,126367,0,3909,419004,0,176761,188596,0,102178,0,51195,680722,0,18237,0,12067,150849,142121,37010,88748,266965,0,80,691069,171221,0,0,1353676,128236,0,94240,0,0,246569,36910,59570,336409,55289,0,0,24389,100143,122954,24351,166748,244213,0,43739,0,0,151375,673,42520,50428,23854,41450,55341,204692,17843,82608,317897,795761,23123,243213,26133,65901,72289,0,0,61065,0,0,0,15053,5405,0,0,27362,95987,33876,0,0,27032,16991,15830,10392,43622,0,3094,37353,0,460092,0,301948,805,336432,248462,2689,64359,218040,0,"Gemmiger formicilis"
"Parabacteroides distasonis",288255,179939,227573,196956,610075,6461499,35413,1988363,886903,1689099,383760,147833,281998,164146,350365,1079599,5641179,552683,4049282,2900,914154,7147,9706264,10794,385390,301305,151444,564613,60091,1899147,305447,303541,47694,795908,296958,355705,1478989,995876,157053,572349,44393,351571,277140,176347,16953,1062084,76398,118242,4281724,0,136999,187875,0,122640,28119,799027,2298254,185881,1457314,195966,135403,156287,350408,370462,166474,830904,490917,176266,80378,93239,506488,22291,51906,7481063,500941,2414647,215118,40818,98203,56146,1097535,1021451,180239,573976,416945,1649396,91566,632666,330109,802553,78933,884269,23461,1671187,121,360221,1426484,309165,301120,0,1232822,461085,320684,206199,1581850,1467901,1858934,0,140415,702802,141907,27432,1128834,658777,2565074,1600747,975912,1684820,157366,198755,886960,168844,924,12737,18173,85691,226747,91292,"Parabacteroides distasonis"
"Prevotella copri",274125,0,1040977,18100,0,21648,6040,0,2363,10672,853,19531135,78,0,0,0,334,0,2627720,878,3730,22661649,0,0,3475,529,11502,0,989,518,7459524,2319,621,5727,427485,17464658,2417,970,7434,1882,20896904,3511,0,4503809,10367,0,11333044,2678430,3810,4689,3115,42975292,6991,3107193,8040,2783443,0,1960,4735,1229,0,3014,2068,859139,21388932,0,2198,834,0,1764,0,11474492,7878,0,0,0,858,257071,1856,0,603,5355,7447832,12438377,1323,0,783555,1066,16393436,13966,0,0,4789995,2083,0,5615,0,3204,534088,0,15326,2490605,0,0,0,0,0,0,2388,5188,25063599,5490444,14100,11973,940,6740,9003267,1532,5296,3017,3452222,22194839,68644,711361,336610,9343461,1125956,0,"Prevotella copri"
"Bacteroides fragilis",255857,49689,69531,461584,845520,171416,30479,5501021,6294,713619,7244,4908,0,4616157,355629,0,144179,0,28000,0,77619,6693,3334994,8194,332338,0,2643918,121546,1782,0,2025262,345632,24901,502753,433796,5119,1990867,673418,7348,8457,106026,2118097,0,0,4484,4001,1008424,0,3017319,3469,0,10945,38143365,692,14962,0,5809103,682439,543933,440742,3130,0,136886,0,0,0,107225,0,13640,1154262,0,98098,0,2633792,306837,3160,0,14502,5730,0,0,288645,11694,0,0,0,42005,362736,0,913509,0,149303,0,3432,35552234,302519,2888983,0,109338,182649,175300,16833,65770,0,30077,1124952,59676,1176821,192868,154618,11157,186282,0,0,4155960,2468484,263539,985145,0,21934,459655,229740,169,0,142785,0,27343,0,"Bacteroides fragilis"
"Peptostreptococcus stomatis",252510,391,180614,1029099,17275,0,1343,94303,0,0,0,668,0,5947,0,907,0,3437,0,0,0,0,23239,0,0,0,475775,0,0,0,680,9674,0,0,0,0,0,73393,446314,2450,0,0,26664,0,521,0,3041,0,0,0,0,0,0,800,0,0,99666,0,0,0,0,0,0,0,0,0,0,0,0,969638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10858,8267,137,0,0,0,0,0,0,0,0,31267,105795,0,0,0,12100,662,146541,47845,2350,10216,196,412628,1748,0,0,6088,0,0,0,0,131734,"Peptostreptococcus stomatis"
"Eubacterium ramulus",242979,53077,0,214036,27172,25874,84417,0,9044,18503,54296,34782,75214,175657,0,0,31003,10340,15450,0,30616,14986,73786,83933,0,0,0,44749,1015761,1764,1214284,206238,304738,122725,0,58052,25882,27468,113175,0,6088,60349,90094,11325,72401,3113,0,86570,0,0,269253,33849,0,0,158371,52923,0,71428,1767,0,0,29599,40237,28768,30398,0,36780,0,23048,0,39225,98134,68876,0,52716,57383,0,24153,272583,0,15677,69090,16244,18011,174421,70549,18505,27963,46612,27774,40599,24374,70694,0,0,0,95989,269070,0,0,0,24768,0,52227,266,14158,45606,0,0,3414,9999,9044,1613,33259,0,0,3015,0,179364,0,23817,87924,178558,317943,0,7055,197058,0,"Eubacterium ramulus"
"Odoribacter splanchnicus",228958,31634,7382,0,0,0,0,0,259348,0,0,85639,108531,43570,7989,0,0,27780,0,0,0,0,90809,1959,68220,0,24918,29547,0,196289,27637,67440,0,216185,0,217218,140755,134585,218296,0,73302,0,44050,46139,814,383354,201388,17203,0,0,115512,64604,0,0,629436,300948,0,24376,0,108501,68771,73741,0,13435,152754,0,248106,0,0,27452,127611,4014,31475,0,0,0,1450,0,0,0,260372,370317,130924,100200,0,0,1060,148214,256110,223899,27759,154681,0,102336,0,0,249823,38826,0,44450,0,60229,0,547150,0,0,0,0,256938,38928,53390,9198,0,23619,0,0,5584699,117975,0,41064,75290,42822,0,7899,0,103515,39589,15867,"Odoribacter splanchnicus"
"Filifactor alocis",222804,0,0,0,99726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11653,5448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Filifactor alocis"
"Gemella morbillorum",218430,44652,362168,0,9627,0,0,65846,0,1568,0,9830,0,103749,0,10878,0,86725,0,0,0,1170,39056,0,2442,0,1210443,0,6207,0,0,12416,690,0,1708,1752,0,40677,412978,0,0,322,15897,0,6779,0,30782,0,380,0,0,0,0,0,0,0,28059,0,0,0,0,0,0,0,0,0,0,0,0,346236,0,0,2501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10581,1868,0,60379,19492,842,0,0,0,0,0,0,0,0,5171,14255,0,34932,0,4227,0,9027,22894,4559,52336,0,74986,632,0,7418,2645,0,435,0,2604,25051,"Gemella morbillorum"
"Klebsiella pneumoniae",214584,2468530,0,4361,185540,113739,10424,0,142492,7255863,3054,343778,116389,2035007,5495,4678,126937,3162741,2522,33519,55336,0,400627,10700,18378,319648,137886,0,5897,0,0,0,50392,1206852,824075,102321,5562,0,33084,0,3029,5208,0,0,92422,937418,0,669157,1599,23215785,1931,129459,172866,525632,53108,458497,1905,0,34967,183045,94672,0,103274,38430,172974,361158,2920238,36273,42395,68271,214800,17468,65845,0,3756910,0,0,55390,6030,152621,0,0,0,0,0,0,448369,297718,0,0,0,0,8603,0,1385115,47990,20750,9496865,0,296081,7545,0,0,0,0,30464,6293,7440,1129,6663,17076,1386,0,0,0,0,21200,4077364,3634,100856,674416,0,0,0,0,24145,2716,1678921,"Klebsiella pneumoniae"
"[Eubacterium] siraeum",187673,0,1497,0,1132230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5915,73085,0,0,0,0,0,0,0,7211,932919,0,0,0,41741,0,0,58715,4654,516496,83627,375475,0,0,0,0,0,0,1178918,62154,0,0,0,0,0,150734,295230,59465,0,260358,0,0,333358,1667,0,0,0,0,928260,0,0,3328767,0,0,10611,0,47030,8381,2136,0,0,128723,93545,0,0,1316409,0,0,0,0,0,296048,0,0,7037003,7818,0,81123,0,0,0,0,0,71266,785437,75684,0,856841,0,0,572471,0,0,0,8807,0,0,0,57614,0,128268,0,"[Eubacterium] siraeum"
"Bacteroides uniformis",184665,7691213,83164,2689593,2125499,12536,467990,7636876,527702,2022211,6119457,3880383,1201864,108194,320467,94015,0,6593191,787722,463073,3915871,4651,872201,196660,9606820,3800988,3200688,7689736,45878,6102487,282494,3284093,28834,3284040,6580058,189382,938676,3824567,3166155,365600,7211,1946117,6693364,395428,66272,7788955,1774093,439353,2757316,6211,4439117,626240,809,149092,2612383,4546624,1366190,1486500,4948411,1762718,861831,1581330,2679745,1751482,120632,0,0,257389,461402,1922252,6277571,101322,745865,0,4565372,1845304,3375725,3079329,208178,1519059,15632579,10970541,589120,2151485,8307552,5469129,119768,764360,903408,4130183,2946103,7362889,95800,2696660,1359,746503,2930342,4486660,74824,9476,2120625,2883582,737809,1410817,1078454,7213945,120942,5547400,1954787,4624411,393446,60805,2609397,504993,1269872,1501023,2620342,18338423,2933524,898632,3553002,811717,6006,1962794,76754,2861742,1414761,106557,"Bacteroides uniformis"
"Prevotella sp. CAG:891",183311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8199,0,0,0,0,0,0,0,0,0,0,0,2213522,0,0,"Prevotella sp. CAG:891"
"Proteus mirabilis",178019,0,0,0,0,0,0,0,0,0,0,0,3827,0,0,0,0,0,0,50242,0,0,0,0,0,4981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Proteus mirabilis"
"Agathobaculum butyriciproducens",168913,199411,70082,1718944,0,400885,190787,0,24681,90954,198043,49434,109547,625712,156835,2278434,413761,25892,55448,0,68636,260880,22636,33570,151630,0,257128,1903,1020440,22147,2684384,140890,427833,88225,373482,417710,52915,13329,23565,22081,26290,123512,169277,378040,881312,14786,9294,376176,463162,14837,48595,82037,111792,910612,35354,1203547,0,672696,64,43418,169967,282833,123613,235503,46956,1623332,21906,174951,112280,282417,47576,217880,214931,142019,265869,19690,814522,49928,724182,614164,56531,140635,94585,16255,255727,178489,107438,53968,234953,34108,37327,34449,1104273,255336,1563,1264386,2114,184756,489535,151074,48303,92190,946536,5844,25120,62854,49567,0,0,6647,102161,14001,126896,963,0,56232,21732,361943,651945,30159,233096,257690,696233,2420298,548305,60448,995854,696562,"Agathobaculum butyriciproducens"
"Dialister pneumosintes",167042,120763,120381,107168,124037,0,0,4373,0,0,0,0,0,74115,0,0,0,0,0,0,0,0,39955,0,7960,0,422552,0,0,0,0,7219,0,2032,0,0,116,252174,557421,0,0,0,0,0,0,0,48426,0,0,0,0,0,0,0,0,0,424769,0,0,5241,0,0,0,0,0,0,0,0,0,131665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135289,0,0,0,1026,0,0,0,0,0,0,20413,116052,0,0,0,5536,0,22900,275898,0,18610,0,255182,0,0,0,0,0,0,0,0,24880,"Dialister pneumosintes"
"Acidaminococcus intestini",160591,1993,0,0,0,0,0,1111,0,0,0,0,0,1021,5613800,0,0,0,0,0,0,0,0,6835,0,0,0,0,172,1570571,7498,0,0,0,0,182443,0,0,0,0,983035,0,0,743817,0,402,0,7848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10658,0,0,0,0,217332,0,0,0,0,0,0,0,0,0,15275,0,0,0,0,0,0,301083,189865,317883,0,0,0,0,0,0,0,0,0,0,0,0,906419,0,0,0,0,0,0,0,0,0,729115,0,0,0,18938,0,0,29656,0,0,1018500,0,0,664549,0,0,1015216,0,0,"Acidaminococcus intestini"
"Solobacterium moorei",148501,41221,0,8080,24292,0,0,0,0,0,0,0,0,5907,8507,23618,0,0,0,0,0,0,0,0,0,0,1034453,728,25813,0,3158,0,0,0,159,0,0,0,846,3652,0,0,0,0,1019,0,126390,0,3000,0,0,0,0,721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,85082,0,12432,0,0,0,0,0,0,0,0,63990,93,2946,0,0,0,41733,0,0,44922,0,128250,0,0,1525,0,0,881,0,0,90627,"Solobacterium moorei"
"Parabacteroides merdae",136273,0,532975,0,328128,0,2049,0,79867,1292455,1598,117854,424087,108641,0,0,0,131918,3784457,0,58604,0,0,0,3649108,225127,44923,132029,12995,817944,7104,554329,82488,459341,0,376991,0,858839,0,0,23936,0,241768,736265,0,2473654,183508,103773,8592548,0,739246,411302,0,0,21345,2713664,0,646010,0,1063941,0,369834,0,151781,216571,0,1589006,57980,0,85686,300914,422878,0,0,604415,276515,156608,2480,0,55508,0,0,314570,258456,0,0,0,1489507,161546,558209,878870,308509,397498,62253,83,254334,684108,478,0,0,0,0,0,1139048,0,0,1808595,1142380,0,486478,885709,31096,838354,58782,0,0,301863,0,455650,167433,1870259,0,0,37497,0,428138,257123,213829,"Parabacteroides merdae"
"Coprococcus catus",132707,39319,47300,423371,177737,1375,72469,41763,0,77455,0,26897,41776,130572,0,0,119,7345,0,0,0,27225,12267,5418,73693,0,0,10597,0,0,103695,42538,243891,2543,0,140661,34724,66155,0,266044,29112,39489,82478,63283,133130,68676,20668,188824,0,3740,172358,48013,0,0,4307,69213,69379,20098,0,165724,41537,67459,0,32483,37663,5437,0,33471,35296,0,0,18433,299507,0,59305,17707,0,64098,0,75115,27280,89883,38835,80707,27923,1565,0,21293,57134,15257,45802,28691,88058,0,0,0,35190,0,0,0,0,26462,0,319,1450,13603,68697,34049,0,97466,39166,9297,137181,300761,78447,84754,6931,0,55447,0,136342,0,222968,177261,0,129242,173948,0,"Coprococcus catus"
"Butyricimonas virosa",130295,143120,6754,18189,230735,0,0,0,160004,79613,0,111894,143453,29255,473,0,0,7714,13334,0,0,0,31563,0,0,167585,0,4177,540,61608,1583,92224,0,175553,0,134540,0,380007,186617,0,37930,0,18181,7327,0,120749,149031,15869,0,0,23383,133582,0,0,296,32187,171858,0,0,0,3763,26426,66304,6211,12379,0,0,0,108677,0,264000,1150,0,435697,26183,144946,0,180217,1706,0,209077,15984,0,118708,0,0,5486,93590,61923,44138,9538,124151,0,0,0,0,645923,24344,0,65237,0,137168,0,0,86748,215073,43289,0,0,161346,0,0,981991,8429,92381,0,1019442,444450,194473,0,60098,4299,0,13016,0,118546,46579,149679,"Butyricimonas virosa"
"Bacteroides stercoris",129712,2446003,335,714815,279879,5653,7070,86434,13043769,4688995,11715654,275081,1356185,1324828,2320206,20421,0,328029,1580076,0,1756781,535,2428,233900,24463,2113110,388752,0,28135,23742271,275984,744916,0,0,0,477329,438185,932294,358777,0,98119,3682612,1031536,79188,24534,0,221959,101085,13063416,0,652971,74374,0,0,0,312588,5904877,0,0,1703850,0,657059,0,113919,39551,0,0,38158,0,430266,0,63225,0,0,500143,0,2343652,1158984,41073,885507,3062689,1660575,49866,458198,0,0,0,4688419,38809,3961,212826,3235762,173076,1824384,0,0,687589,95502,0,0,0,0,207247,36012,1046774,0,1640049,0,559,1986243,483282,22517,10493,9689,6312006,6391333,811990,0,2137429,5792,568,0,2038,0,90996,152916,103958,295741,"Bacteroides stercoris"
"Adlercreutzia equolifaciens",162237,0,916,124198,9704,121043,145281,0,0,246,0,53264,43992,0,0,4941,150391,918,1434,0,0,0,46185,21376,55718,1994,150607,289576,1707,0,5386,616,0,0,0,7518,72868,78190,58587,0,0,0,88483,125765,1645,20719,6741,94683,0,0,384875,0,0,261266,413503,15668,0,0,0,0,60661,19754,62558,1552,0,1283,0,91048,33570,167657,63062,21299,304226,33340,20085,0,358,38083,0,0,634,79979,27250,17918,995,1691,0,2061,0,0,91622,4295,0,62151,0,46759,336162,148,0,89019,0,0,0,0,0,34301,9655,0,2096,138213,11433,0,20614,36386,0,10531,10815,0,0,0,29160,14338,63680,153071,104174,16759,136316,127,"Adlercreutzia equolifaciens"
"Alistipes finegoldii",118564,2098,0,58678,109649,91049,500,0,10133,141989,0,248766,0,3550,0,0,31772,29980,9730,0,0,0,2131,0,0,50791,86124,151462,0,52635,8680,17194,4775,21513,0,16324,6406326,224513,798356,0,0,0,143689,0,40211,113119,3325,123071,0,0,6046,2983,0,0,0,913815,0,3818,0,268427,24721,4286,3530,43299,71495,41703,0,713,73909,35539,86938,62273,105186,0,0,0,0,0,0,0,0,129256,0,125461,0,0,7395,913912,7067,24578,0,29535,0,0,0,0,2299335,108829,2147,1935741,476801,0,75609,1868805,0,20881,0,0,0,622606,5261,0,428999,12082,0,0,83566,0,0,0,9954,1180,0,11314,18654,0,1805,90747,"Alistipes finegoldii"
"Roseburia hominis",115423,1159523,461732,163131,67624,0,0,150,25067,393871,167129,118582,187223,2838916,1536,0,0,312692,57109,0,7472,3986055,38230,20511,0,0,825314,2494490,71707,0,104504,27239,1932,538929,10863,336852,43767,26715,269885,0,14681,114567,767881,16931,39543,35853,150908,3754852,22615,0,495033,0,0,9284,1307046,1291000,0,17621,0,856476,23935,28744,259939,420822,26373,0,0,15890,340772,449728,310352,25295,46634,0,35866,23741,0,247622,469923,0,157324,12203,779097,144412,555244,7728,159797,112870,335483,204434,561037,143360,110288,0,0,0,24664,1514578,0,183177,171192,12331,0,10963,10935,87580,93025,146168,1185,69339,175134,27592,401301,53567,0,0,38710,0,259498,0,1096888,7300,108586,1290155,175675,134113,69989,94345,"Roseburia hominis"
"Bacteroides xylanisolvens",110065,26295,24069,645877,125223,0,28280,20551,119782,122926,802,18191,83210,80975,854171,0,0,1180166,168140,20246,639969,2297,79518,32576,1705945,1573663,51532,14242,40475,1363608,16135,1427880,73900,325044,0,80687,3255,77168,341720,2083,2545,3908,315532,30265,4373,104745,25173,434649,551367,0,1068679,189689,0,56552,92733,652734,5547199,254954,352776,286692,113823,148210,822533,18884,354263,855,1023137,73394,0,47969,388499,79975,10681,987806,373642,2864161,88082,701336,0,0,219989,23129,25931,40563,404900,191980,44312,1344354,202532,168978,441946,103644,2785,2117815,0,0,198230,57786,620094,43807,159048,689424,707002,32493,29912,254377,10842,1672112,0,7051,9376,34565,58283,33594,4309837,794520,71292,3699203,1944653,119897,64013,891502,2497,35179,338,212762,43422,309169,"Bacteroides xylanisolvens"
"Firmicutes bacterium CAG:95",109962,27410,34164,0,68017,0,0,0,0,0,0,98095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6640,62166,0,0,0,0,0,47475,0,1111,0,1112,80361,0,0,0,0,0,0,8620,39170,8099,0,0,0,0,0,0,187767,11168,0,1762,0,31180,2809,23132,3473,30831,1029,0,5367,0,13267,856,3865,0,0,0,62835,0,0,15847,0,0,0,4816,142222,134764,140,0,392,45575,385323,61439,15766,0,0,0,0,0,0,0,0,0,94306,0,0,0,0,8404,72950,0,0,537,43777,0,0,0,0,0,155741,0,0,0,0,0,1047,31172,0,228799,214965,0,"Firmicutes bacterium CAG:95"
"Bacteroides thetaiotaomicron",108905,798361,34451,163471,214658,7684511,21410,938719,507509,465278,2907,180552,744454,275534,106577,16311,6570808,677046,89184,3863,2402316,7589,686125,35523,4074101,949304,249591,416868,16369,2181396,53398,427670,20253,139595,6331307,81117,28177,480126,367045,100784,0,885566,62158,59085,9764,110545,240434,229150,641270,0,1100703,235061,0,102566,269514,818171,7259435,363067,92241,246204,251634,43984,561840,388930,443886,863316,1696325,71541,46633,232145,1262371,9340,60487,4072563,280949,530670,123706,344850,268409,706318,1660871,452447,93673,95275,1304381,546577,123085,1075418,385694,834984,149028,635295,290735,217444,3636,1742428,668483,539762,276963,421047,2998162,1879056,156422,492984,1108584,451574,587919,0,100669,409979,46331,16677,518292,49620,4009417,455077,407715,1218470,2061967,483664,671297,475841,1307,150573,104855,760095,366914,358758,"Bacteroides thetaiotaomicron"
"Kluyvera georgiana",106256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1646,0,0,0,0,0,0,0,2182,0,0,0,0,0,0,0,0,0,0,0,0,0,1714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9457,"Kluyvera georgiana"
"Schaalia cardiffensis",103681,0,36349,0,0,0,0,0,0,0,0,0,0,883,0,12365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Schaalia cardiffensis"
"Oxalobacter formigenes",100516,23758,0,124811,0,0,0,0,1390,0,0,0,85721,2300,0,0,0,0,0,0,0,0,0,0,413654,0,50033,35310,0,0,0,6391,0,0,76597,0,212509,46780,1039242,0,0,37977,0,32837,0,100240,0,7630,0,0,0,0,0,0,752441,0,0,0,0,0,0,0,90738,5970,0,0,0,0,0,27554,5093,0,123332,4724,0,0,0,0,0,0,0,0,118292,0,0,11230,0,152474,0,9530,0,3425,0,22961,0,0,0,0,0,25217,0,0,0,0,7103,0,0,0,0,60930,51630,0,0,0,0,18921,0,35337,0,0,0,0,0,0,0,151950,0,18223,"Oxalobacter formigenes"
